DEVICETYPENAME,TTFB,TTI,FREQ
Desktop,3450,7139.000,140569
Tablet,1640,6476.000,139934
Mobile,3560,8525.000,139683
Mobile,3570,8507.500,139046
Desktop,3470,7156.000,138612
Tablet,1650,6491.000,138570
Mobile,3580,8552.000,137414
Desktop,3480,7169.000,136678
Tablet,1660,6501.000,136355
Mobile,3590,8567.000,135492
Desktop,3500,7206.000,135331
Tablet,1670,6548.000,135299
Desktop,3490,7162.000,135246
Mobile,3600,8556.000,135161
Mobile,3610,8631.000,133724
Tablet,1680,6530.000,133701
Desktop,3510,7213.000,133626
Mobile,3620,8625.000,132804
Desktop,3520,7211.000,132424
Desktop,3530,7224.000,132159
Mobile,3630,8629.000,132084
Tablet,1690,6546.000,130682
Desktop,3540,7232.000,130502
Tablet,1700,6532.000,130393
Desktop,3550,7242.000,130368
Mobile,3640,8644.000,130004
Mobile,3650,8658.000,129233
Tablet,1710,6559.000,128985
Desktop,3560,7235.000,128467
Mobile,3660,8680.000,128369
Desktop,3570,7240.000,128284
Tablet,1720,6518.000,127755
Mobile,3670,8694.000,127405
Desktop,3580,7296.000,126460
Mobile,3680,8744.000,125560
Tablet,1730,6523.000,125388
Desktop,3590,7309.000,125310
Mobile,3690,8725.000,124711
Mobile,3700,8763.000,123845
Desktop,3610,7307.500,123750
Desktop,3600,7312.000,123728
Tablet,1740,6578.000,123620
Mobile,3710,8788.000,123542
Desktop,3620,7329.000,122611
Desktop,3630,7342.000,122318
Tablet,1750,6603.000,121764
Mobile,3720,8825.000,121623
Mobile,3730,8842.000,120971
Desktop,3640,7359.000,120522
Tablet,1760,6579.000,120495
Desktop,3650,7360.000,120278
Mobile,3740,8813.000,119562
Mobile,3750,8845.000,119425
Desktop,3660,7357.000,119115
Desktop,3670,7406.000,118864
Tablet,1770,6603.000,118759
Tablet,1780,6623.000,117821
Mobile,3760,8844.000,117754
Desktop,3680,7366.000,117282
Mobile,3770,8882.000,117134
Mobile,3780,8905.000,116754
Desktop,3690,7428.000,116746
Tablet,1790,6639.000,115995
Desktop,3700,7426.000,115223
Mobile,3800,8959.000,114726
Tablet,1800,6677.000,114677
Desktop,3710,7424.000,114470
Mobile,3790,8946.000,114179
Tablet,1810,6656.000,113043
Mobile,3810,8966.000,112982
Desktop,3720,7453.000,112952
Desktop,3730,7467.000,112786
Mobile,3820,8983.000,112265
Desktop,3740,7477.000,111575
Tablet,1820,6703.000,111423
Mobile,3830,8999.000,111060
Desktop,3750,7483.000,110817
Tablet,1830,6683.000,110727
Mobile,3840,8989.000,110715
Desktop,3770,7490.000,109427
Mobile,3850,9044.000,109363
Tablet,1840,6707.000,109289
Desktop,3760,7496.000,109028
Mobile,3860,9041.000,109001
Desktop,3780,7531.000,108710
Mobile,3870,9029.000,107741
Desktop,3790,7535.000,107484
Tablet,1850,6718.000,107189
Desktop,3800,7561.000,106780
Mobile,3880,9069.000,106085
Desktop,3810,7560.000,105950
Tablet,1860,6751.000,105465
Mobile,3890,9099.000,105457
Tablet,1870,6718.000,105073
Mobile,3900,9139.000,104913
Desktop,3820,7559.000,104776
Desktop,3830,7563.000,104444
Mobile,3910,9150.000,103840
Desktop,3840,7601.000,103693
Mobile,3920,9130.000,103638
Desktop,3860,7597.000,103473
Desktop,3850,7594.000,103047
Tablet,1880,6755.000,103013
Mobile,3940,9178.000,102405
Mobile,3930,9168.000,101991
Tablet,1890,6772.000,101356
Desktop,3870,7646.000,101082
Desktop,3880,7611.000,101042
Mobile,3950,9175.000,100258
Mobile,3960,9210.000,99911
Tablet,1900,6791.000,99905
Desktop,3890,7664.000,99582
Mobile,3970,9240.500,99444
Desktop,3900,7669.000,99137
Mobile,3980,9290.000,98958
Desktop,3920,7662.000,98303
Tablet,1910,6818.000,98290
Mobile,3990,9308.000,97906
Desktop,3910,7669.000,97642
Tablet,1920,6830.000,97139
Tablet,1930,6830.000,96753
Desktop,3930,7712.000,96701
Desktop,3940,7678.000,96239
Mobile,4000,9299.000,96056
Mobile,4010,9326.000,95807
Mobile,4020,9339.000,95731
Desktop,3950,7722.000,95717
Desktop,3960,7709.000,95128
Mobile,4030,9343.000,94932
Mobile,4040,9328.000,94717
Tablet,1940,6833.000,94576
Desktop,3970,7708.000,94506
Mobile,4050,9383.000,94017
Desktop,3980,7741.000,93485
Tablet,1950,6870.000,93225
Mobile,4060,9366.000,93097
Desktop,3990,7776.000,92452
Desktop,4000,7782.000,92119
Mobile,4070,9387.500,92026
Tablet,1960,6921.000,91925
Desktop,4010,7798.000,91512
Tablet,1970,6872.000,91333
Mobile,4080,9401.000,90859
Mobile,4090,9421.000,90619
Desktop,4020,7800.000,90452
Mobile,4100,9502.000,89970
Tablet,1980,6908.000,89731
Desktop,4030,7806.000,89570
Desktop,4040,7840.000,89277
Mobile,4110,9515.000,89258
Mobile,4120,9482.000,88639
Mobile,4130,9526.000,88613
Desktop,4050,7864.000,88589
Tablet,2010,6879.000,88552
Desktop,4060,7838.000,87928
Mobile,4140,9521.000,87385
Tablet,1990,6921.000,87371
Tablet,2000,6983.000,87025
Desktop,4070,7835.000,87015
Desktop,4080,7885.000,87012
Tablet,2020,6923.500,86848
Mobile,4150,9541.500,86752
Desktop,4090,7863.000,86210
Mobile,4160,9540.000,86019
Mobile,4170,9589.000,85592
Tablet,2030,6945.500,85240
Mobile,4180,9631.500,84830
Desktop,4100,7919.000,84813
Desktop,4110,7921.000,84566
Mobile,4190,9590.000,84080
Desktop,4120,7917.000,83944
Desktop,4130,7943.000,83726
Mobile,4200,9669.000,83711
Tablet,2040,6977.000,83327
Mobile,4210,9659.000,82564
Desktop,4150,7974.000,82408
Mobile,4220,9657.500,82254
Desktop,4140,7947.000,82202
Mobile,4230,9702.000,81905
Tablet,2050,7005.000,81850
Desktop,4170,7973.000,81825
Desktop,4160,7955.000,81773
Mobile,4240,9697.000,81363
Desktop,4180,7964.500,81270
Mobile,4250,9658.000,80990
Desktop,4190,8016.000,80766
Tablet,2060,7003.000,80627
Mobile,4260,9767.000,80153
Mobile,4270,9728.500,79800
Tablet,2070,7016.500,79792
Desktop,4200,8009.000,79630
Mobile,4280,9758.000,79210
Mobile,4290,9719.000,79197
Desktop,4210,8003.000,78966
Desktop,4220,8020.000,78643
Tablet,2080,7084.000,78589
Mobile,4300,9791.000,78359
Desktop,4230,8038.000,78002
Tablet,2090,7037.000,77859
Mobile,4310,9735.000,77509
Desktop,4240,8059.000,77353
Mobile,4320,9754.000,77236
Mobile,4330,9752.000,77086
Tablet,2100,7081.000,76985
Desktop,4250,8070.000,76687
Tablet,2110,7050.000,76451
Mobile,4340,9849.000,76294
Desktop,4280,8085.000,76243
Desktop,4260,8058.500,76082
Mobile,4350,9806.000,76027
Desktop,4270,8079.000,75912
Mobile,4360,9779.000,75460
Mobile,4370,9811.000,75404
Desktop,4290,8085.000,75177
Tablet,2120,7082.000,74821
Mobile,4390,9874.000,74428
Tablet,2130,7123.000,74266
Mobile,4380,9893.000,74210
Desktop,4300,8139.000,74006
Desktop,4310,8138.000,73721
Mobile,4400,9880.000,73220
Desktop,4320,8158.000,73095
Mobile,4410,9898.000,72963
Tablet,2140,7095.500,72808
Desktop,4330,8154.000,72439
Mobile,4420,9945.000,72391
Desktop,4340,8164.000,72056
Mobile,4430,9940.000,71985
Tablet,2150,7122.000,71684
Desktop,4350,8208.000,71500
Mobile,4440,9954.000,71400
Mobile,4450,9969.000,71301
Desktop,4360,8176.000,71172
Desktop,4370,8178.000,71016
Tablet,2160,7138.000,70987
Mobile,4460,10035.000,70740
Tablet,2170,7175.000,70609
Desktop,4390,8204.000,70261
Desktop,4380,8233.000,70169
Mobile,4470,10008.000,70067
Mobile,4480,10040.000,69824
Mobile,4490,10040.500,69480
Tablet,2180,7200.000,69083
Desktop,4400,8251.000,68813
Desktop,4410,8250.000,68535
Tablet,2190,7189.000,68508
Mobile,4500,10043.000,68439
Mobile,4510,10065.000,68129
Desktop,4420,8262.000,67924
Mobile,4520,10118.000,67790
Tablet,2200,7200.000,67625
Desktop,4430,8307.000,67366
Desktop,4450,8366.000,67212
Desktop,4440,8319.000,67164
Mobile,4530,10097.000,67082
Mobile,4550,10119.000,66866
Mobile,4540,10143.000,66786
Tablet,2210,7224.000,66621
Tablet,2220,7257.000,65958
Desktop,4460,8308.500,65756
Mobile,4560,10156.000,65717
Desktop,4470,8397.000,65520
Mobile,4570,10170.000,65476
Tablet,2230,7259.000,65303
Desktop,4480,8363.000,65279
Desktop,4490,8385.000,65180
Mobile,4580,10187.000,65113
Tablet,2240,7219.000,64665
Mobile,4590,10184.000,64292
Desktop,4500,8387.000,64209
Mobile,4600,10206.000,64155
Tablet,2250,7262.000,63750
Mobile,4610,10237.500,63448
Mobile,4620,10264.000,63364
Desktop,4510,8394.000,63333
Desktop,4520,8406.000,63265
Mobile,4630,10284.500,63178
Tablet,2260,7251.000,62914
Desktop,4530,8406.000,62864
Mobile,4640,10230.000,62859
Desktop,4540,8465.000,62449
Mobile,4650,10313.000,62395
Tablet,2270,7300.000,62386
Desktop,4550,8438.000,62341
Tablet,2280,7332.000,61611
Mobile,4660,10296.000,61569
Mobile,4670,10309.000,61505
Mobile,4680,10334.000,61399
Desktop,4560,8475.000,61281
Desktop,4570,8497.000,60951
Mobile,4690,10345.000,60839
Desktop,4590,8496.000,60779
Tablet,2290,7260.000,60713
Desktop,4580,8467.000,60609
Mobile,4700,10376.000,60495
Mobile,4710,10412.000,60338
Tablet,2330,7301.000,60197
Tablet,2300,7364.000,60193
Tablet,2310,7309.000,59952
Tablet,2320,7329.000,59871
Desktop,4600,8496.000,59369
Mobile,4720,10420.000,59318
Desktop,4610,8547.000,59240
Mobile,4730,10380.000,59004
Mobile,4740,10416.500,58686
Tablet,2340,7316.500,58668
Desktop,4620,8542.000,58633
Mobile,4750,10415.000,58591
Desktop,4630,8528.000,58585
Desktop,4640,8582.500,58544
Tablet,2350,7336.000,58298
Mobile,4760,10477.000,58150
Mobile,4770,10470.000,58123
Tablet,2370,7315.000,57786
Mobile,4790,10494.000,57567
Mobile,4780,10456.000,57536
Tablet,2360,7362.000,57341
Desktop,4650,8617.000,57247
Desktop,4660,8610.000,57189
Mobile,4800,10489.000,56951
Tablet,2380,7296.000,56913
Desktop,4670,8632.000,56793
Desktop,4680,8645.000,56487
Mobile,4810,10498.000,56486
Desktop,4690,8670.500,56062
Mobile,4820,10541.000,55944
Tablet,2390,7337.000,55837
Mobile,4830,10542.500,55658
Desktop,4700,8662.000,55649
Tablet,2400,7351.000,55469
Mobile,4840,10530.000,55237
Desktop,4710,8681.000,55225
Mobile,4850,10566.000,55182
Tablet,2410,7366.000,54945
Tablet,2420,7338.500,54844
Desktop,4720,8718.000,54613
Mobile,4870,10641.000,54473
Mobile,4860,10625.000,54340
Desktop,4740,8749.000,54241
Mobile,4880,10623.500,54234
Tablet,2430,7399.000,54225
Tablet,2440,7371.000,54053
Mobile,4900,10676.000,54039
Desktop,4730,8717.500,53730
Tablet,2450,7350.000,53656
Mobile,4890,10626.000,53610
Desktop,4750,8713.000,53473
Desktop,4770,8735.000,53279
Mobile,4910,10687.000,53217
Mobile,4920,10674.000,52933
Desktop,4780,8795.000,52843
Mobile,4930,10743.500,52816
Desktop,4760,8747.000,52725
Tablet,2460,7379.000,52576
Tablet,2470,7390.000,52506
Mobile,4950,10704.000,52392
Mobile,4940,10740.500,52300
Tablet,2480,7408.000,52025
Mobile,4960,10636.000,51977
Desktop,4790,8810.000,51954
Tablet,2500,7430.500,51746
Mobile,4970,10719.000,51580
Tablet,2490,7393.000,51540
Desktop,4800,8803.000,51424
Mobile,4980,10766.000,51148
Tablet,2510,7443.500,51100
Mobile,4990,10767.500,51044
Desktop,4820,8826.000,50858
Desktop,4810,8846.500,50774
Tablet,2520,7405.000,50735
Desktop,4830,8854.000,50503
Desktop,4840,8898.500,50446
Desktop,4850,8924.500,50262
Tablet,2540,7427.000,50020
Tablet,2530,7461.000,49983
Desktop,4870,8888.000,49531
Tablet,2550,7443.000,49436
Desktop,4860,8874.000,49422
Desktop,4900,8840.000,49070
Desktop,4880,8892.000,48918
Desktop,4890,8940.000,48459
Tablet,2560,7412.000,48452
Tablet,2570,7513.000,48032
Desktop,4910,8953.000,48020
Tablet,2580,7450.000,47844
Desktop,4920,9014.000,47333
Desktop,4930,8978.000,47318
Tablet,2590,7487.000,47279
Desktop,4940,9076.000,47007
Tablet,2600,7528.500,46816
Desktop,4950,9070.000,46804
Tablet,2610,7500.000,46357
Desktop,4960,9008.000,46301
Desktop,4970,9045.000,46091
Tablet,2620,7570.000,45624
Desktop,4990,9065.000,45513
Desktop,4980,9070.000,45503
Tablet,2640,7499.000,45349
Tablet,2630,7537.000,45289
Tablet,2650,7571.000,44859
Tablet,2660,7534.000,44153
Tablet,2670,7526.500,43580
Tablet,2680,7564.000,43463
Tablet,2700,7620.000,42269
Tablet,2690,7613.000,42156
Tablet,2710,7665.500,42016
Tablet,2720,7631.000,41316
Tablet,2730,7706.000,41115
Tablet,2740,7699.000,40854
Tablet,2750,7695.500,40340
Tablet,2770,7666.000,39669
Tablet,2760,7672.000,39595
Tablet,2780,7686.000,39059
Tablet,2790,7689.000,38511
Tablet,2800,7762.000,38208
Tablet,2810,7776.000,38039
Tablet,2820,7768.000,37727
Tablet,2830,7745.500,37600
Tablet,2840,7753.000,36900
Tablet,2850,7795.000,36796
Tablet,2860,7786.000,36285
Tablet,2880,7836.000,35850
Tablet,2870,7845.500,35470
Tablet,2900,7918.500,35118
Tablet,2910,7830.000,35099
Tablet,2890,7918.000,35079
Tablet,2920,7853.000,34762
Tablet,2930,7854.000,34475
Tablet,2940,7842.000,33916
Tablet,2950,7857.000,33808
Tablet,2960,7893.000,33397
Tablet,2970,7946.000,33291
Tablet,2980,7899.000,33079
Tablet,2990,7929.000,32387
Tablet,3000,7903.000,32294
Tablet,3030,7985.000,31864
Tablet,3040,7949.500,31820
Tablet,3010,7937.000,31726
Tablet,3020,7901.000,31699
Tablet,3050,7988.000,31568
Tablet,3060,8053.000,30785
Tablet,3070,8014.000,30471
Tablet,3080,7990.000,30121
Tablet,3090,7987.000,29733
Tablet,3100,7970.500,29492
Tablet,3110,8107.000,29368
Tablet,3140,7987.000,29265
Tablet,3120,8019.000,29210
Tablet,3130,8041.500,29006
Tablet,3150,8091.000,28804
Tablet,3170,8009.000,28634
Tablet,3180,8060.000,28618
Tablet,3190,8147.000,28396
Tablet,3160,8065.000,28339
Tablet,3200,8062.000,28033
Tablet,3230,8110.000,27842
Tablet,3210,8101.000,27764
Tablet,3240,8136.000,27495
Tablet,3220,8091.000,27337
Tablet,3250,8069.000,27271
Tablet,3270,8158.000,26866
Tablet,3260,8094.000,26805
Tablet,3290,8239.000,26443
Tablet,3280,8201.000,26306
Tablet,3310,8251.000,26147
Tablet,3300,8235.000,26086
Tablet,3320,8254.000,25899
Tablet,3330,8262.500,25248
Mobile,5000,10772.000,25172
Tablet,3340,8294.000,25016
Tablet,3350,8292.000,24526
Tablet,3360,8452.000,23902
Tablet,3370,8450.000,23823
Tablet,3380,8475.000,23460
Tablet,3390,8482.000,23273
Tablet,3400,8587.000,22957
Tablet,3410,8524.000,22954
Tablet,3420,8527.000,22592
Desktop,5000,9067.000,22551
Tablet,3430,8588.000,22263
Tablet,3440,8622.000,22182
Tablet,3450,8578.000,21744
Tablet,3460,8603.500,21326
Tablet,3470,8641.000,21307
Tablet,3490,8587.000,21087
Tablet,3480,8707.500,21058
Tablet,3500,8678.000,20455
Tablet,3510,8682.000,20361
Tablet,3520,8783.000,20284
Tablet,3540,8747.500,19986
Tablet,3550,8806.000,19820
Tablet,3530,8793.000,19743
Tablet,3560,8732.500,19458
Tablet,3570,8759.000,19333
Tablet,3580,8842.000,19227
Tablet,3590,8900.000,19030
Tablet,3610,8921.000,18657
Tablet,3630,8900.000,18634
Tablet,3600,8844.000,18537
Tablet,3640,8939.500,18530
Tablet,3620,8880.000,18329
Tablet,3650,8937.000,18136
Tablet,3660,9070.000,17845
Tablet,3670,8948.500,17802
Tablet,3680,8994.000,17552
Tablet,3710,9007.000,17403
Tablet,3690,9073.000,17396
Tablet,3700,9150.000,17292
Tablet,3740,9106.000,16927
Tablet,3720,9065.000,16927
Tablet,3750,9122.000,16863
Tablet,3730,9035.000,16689
Tablet,3760,9114.000,16481
Tablet,3780,9217.500,16384
Tablet,3800,9240.000,16294
Tablet,3770,9241.000,16283
Tablet,3790,9228.000,16123
Tablet,3810,9213.000,15743
Tablet,3820,9339.000,15689
Tablet,3830,9211.000,15640
Tablet,3840,9316.000,15496
Tablet,3850,9198.000,15469
Tablet,3860,9316.000,15293
Tablet,3870,9372.500,15254
Tablet,3880,9305.500,15064
Tablet,3900,9396.000,14948
Tablet,3890,9339.000,14918
Tablet,3910,9310.000,14833
Tablet,3920,9431.500,14504
Tablet,3930,9495.000,14375
Tablet,3940,9463.000,14354
Tablet,3960,9472.000,14207
Tablet,3950,9426.000,14203
Tablet,3980,9457.000,14151
Tablet,3990,9453.000,13937
Tablet,3970,9504.000,13898
Tablet,4000,9484.000,13892
Tablet,4010,9495.500,13620
Tablet,4020,9479.000,13571
Tablet,4030,9496.000,13535
Tablet,4040,9518.500,13284
Tablet,4050,9596.000,13273
Tablet,4060,9717.000,13123
Tablet,4070,9632.000,13112
Tablet,4080,9710.000,13072
Tablet,4090,9608.500,12946
Tablet,4100,9800.500,12700
Tablet,4120,9633.000,12591
Tablet,4110,9729.000,12552
Tablet,4130,9733.000,12400
Tablet,4160,9869.500,12316
Tablet,4140,9718.500,12240
Tablet,4150,9732.500,12146
Tablet,4170,9811.000,12119
Tablet,4180,9778.500,11834
Tablet,4210,9827.000,11765
Tablet,4190,9804.500,11664
Tablet,4240,9891.000,11618
Tablet,4230,9929.000,11604
Tablet,4220,9912.500,11582
Tablet,4200,9957.000,11451
Tablet,4250,9983.500,11406
Tablet,4260,9836.000,11263
Tablet,4270,9955.000,11261
Tablet,4280,9977.000,11156
Tablet,4290,9964.000,10812
Tablet,4320,10097.500,10794
Tablet,4300,10044.000,10743
Tablet,4310,9912.500,10722
Tablet,4340,10126.000,10617
Tablet,4330,10113.000,10600
Tablet,4360,10206.000,10481
Tablet,4350,10083.000,10427
Tablet,4370,10179.000,10335
Tablet,4380,10133.500,10184
Tablet,4390,10325.500,10028
Tablet,4400,10098.000,9995
Tablet,4420,10194.000,9972
Tablet,4410,10282.000,9967
Tablet,4430,10338.000,9825
Tablet,4440,10306.000,9668
Tablet,4450,10281.000,9581
Tablet,4460,10387.500,9400
Tablet,4470,10154.000,9329
Tablet,4480,10470.000,9323
Tablet,4490,10378.000,9255
Tablet,4500,10560.500,9208
Tablet,4510,10432.000,9025
Tablet,4550,10412.000,8984
Tablet,4530,10533.500,8952
Tablet,4540,10421.000,8876
Tablet,4520,10534.000,8861
Tablet,4560,10674.500,8670
Tablet,4600,10620.500,8582
Tablet,4580,10662.000,8535
Tablet,4570,10571.000,8529
Tablet,4590,10658.000,8427
Tablet,4610,10568.500,8410
Tablet,4630,10593.000,8309
Tablet,4650,10741.000,8192
Tablet,4640,10637.000,8165
Tablet,4660,10912.000,8107
Tablet,4620,10630.000,8043
Tablet,4670,10624.000,7943
Tablet,4690,10697.000,7861
Tablet,4680,10733.000,7821
Tablet,4720,10736.000,7737
Tablet,4730,10853.000,7585
Tablet,4700,10888.500,7578
Tablet,4710,10715.000,7499
Tablet,4740,10713.000,7361
Tablet,4750,10898.000,7338
Tablet,4760,10813.000,7329
Tablet,4800,10876.000,7279
Tablet,4780,10962.000,7249
Tablet,4770,10763.500,7144
Tablet,4790,10925.000,7055
Tablet,4810,11058.000,7044
Tablet,4820,10818.000,6928
Tablet,4830,10864.000,6877
Tablet,4880,10914.000,6827
Tablet,4840,10851.000,6819
Tablet,4850,11008.000,6809
Tablet,4860,10872.000,6802
Tablet,4890,11133.500,6684
Tablet,4870,11060.000,6628
Tablet,4930,10944.000,6555
Tablet,4900,10919.000,6539
Tablet,4910,10975.000,6536
Tablet,4940,10924.000,6512
Tablet,4920,11022.000,6473
Tablet,4950,11055.500,6404
Tablet,4970,10978.500,6378
Tablet,4990,11172.000,6338
Tablet,4980,10913.000,6314
Tablet,4960,10948.500,6280
Tablet,5000,10800.500,3154
,0,7173.000,811
,10,4921.000,204
,30,4008.000,197
,20,4155.000,183
,370,4160.000,167
,380,4535.000,162
,290,4015.000,161
,230,3624.000,158
,310,3732.000,155
,250,3809.500,154
,350,3683.000,149
,260,3986.000,147
,340,4147.500,144
,360,4164.000,143
,40,4211.000,141
,280,4371.000,141
,400,4666.000,141
,270,4198.000,139
,410,4756.000,137
,240,3595.000,136
,210,3872.500,136
,460,4763.000,135
,200,3887.500,134
,330,3697.500,134
,220,3377.000,132
,420,4392.500,124
,390,4798.500,124
,450,4372.000,119
,300,3701.500,118
,320,3853.000,118
,440,4339.000,117
,430,3951.500,114
,190,3689.000,111
,160,3296.000,108
,480,3825.000,104
,180,3433.500,104
,490,4228.000,103
,470,4901.000,102
,500,4456.000,101
,530,4166.000,101
,170,2907.000,101
,510,4002.500,100
,560,4217.000,99
,700,4927.000,98
,600,4222.000,94
,570,4609.500,94
,590,4137.000,93
,630,4753.000,93
,580,4514.500,92
Other,0,6727.500,92
,540,4231.000,87
,520,4327.000,86
,650,4416.000,85
,620,4524.000,85
,740,3986.000,85
,550,4208.500,82
,720,4737.000,81
,680,4537.000,77
,750,4708.000,76
,640,4662.000,76
,690,4762.000,75
,710,4514.000,74
,610,4240.000,74
,760,4723.500,74
,730,4269.000,72
,800,4370.000,71
,860,5022.000,71
,50,4015.000,69
,790,4655.500,68
,670,4398.500,66
,820,4378.000,65
,870,4683.000,65
,930,5712.000,65
,1000,5210.000,61
,890,4790.000,59
,140,3299.000,59
,660,4006.000,59
,880,5318.000,59
,940,5256.500,58
,770,5425.000,58
,850,4719.000,57
,990,6267.000,57
,900,5151.500,54
,830,4885.500,54
,1020,5515.000,54
,150,3978.500,52
,840,4196.000,51
,780,5008.500,50
,810,5461.500,50
,910,4854.500,50
,1280,6758.000,49
,960,5631.500,48
,1110,6266.500,48
,130,3701.000,47
,1010,5335.500,46
,980,4702.500,46
,920,5926.500,44
,1060,5552.000,44
,1040,5282.000,44
,1050,5496.500,42
,1100,5653.500,42
,1160,6458.500,42
,950,6362.000,42
,970,6020.000,42
,1080,5774.000,41
,1070,6210.500,40
,60,4376.000,40
,1240,6038.500,40
,1140,6105.000,39
,1130,5926.000,36
,1090,6401.000,34
,1320,8079.000,34
,70,4162.500,34
,1180,7671.000,33
,1150,5870.000,33
,1220,6280.000,33
,1030,6552.500,32
,1190,5400.500,32
,1230,5930.000,32
,80,3731.000,32
,110,4373.000,32
,1340,8617.000,31
,1420,7810.000,29
,1250,7352.000,29
,1440,6341.500,28
,1290,6069.500,28
,1530,8140.000,28
,1120,6410.000,28
,1450,6300.000,27
,1200,5642.000,27
,1270,6851.000,27
,1170,6476.000,27
,1470,7498.500,26
,1310,7189.500,26
,1490,9550.000,26
,1370,5851.500,26
,1410,7046.500,26
,120,3191.000,26
,1460,7632.000,25
,1210,5780.000,25
,1350,7622.000,25
,1390,7178.000,25
,1590,6137.000,24
,1260,8008.000,24
,100,4356.500,24
,1540,7228.500,24
,1510,6488.000,23
,1330,6277.000,23
,1660,7460.500,22
,1720,7745.000,22
,1910,10676.500,22
,1400,6447.000,21
,1430,6981.000,21
,1630,8286.000,21
,1500,6748.000,21
,1360,7295.000,21
,1710,8656.000,19
,1610,5497.000,19
,1800,7119.000,19
,1770,7744.000,19
,1300,7265.000,18
,1980,8421.500,18
Desktop,-10,4045.000,18
,1480,9081.000,17
,1520,7218.000,17
,1750,5680.000,17
,1740,9616.000,17
,1380,6756.000,17
,90,4551.000,17
,1950,10308.500,16
,1550,10172.500,16
,1680,7748.500,16
,1860,7071.000,15
,1940,9254.000,15
,1570,6821.000,14
,2110,8597.000,14
,1880,9102.000,14
,1730,7009.500,14
,1640,6455.000,14
,1760,5733.500,14
,1700,6111.000,14
,2000,10263.000,13
,2120,7656.000,13
,1650,7520.000,13
,1890,6692.000,13
,1620,10586.000,13
,1790,7257.000,13
,1970,6712.000,13
,1990,9758.000,13
,1850,7184.000,13
,2060,9405.000,12
,1820,8037.500,12
,1930,8538.500,12
,1560,6317.000,12
,2400,6026.000,12
,2050,12125.500,12
,2160,8799.000,12
,2100,7309.500,12
,2030,9437.000,12
,1830,6959.000,11
,1840,6958.000,11
,2210,9016.000,11
,1780,11546.000,10
,1670,5475.000,10
,2020,5919.500,10
,2200,9007.500,10
,2550,9713.500,10
,1810,8826.000,10
Other,10,3490.000,10
,2230,9693.000,10
,2380,7636.500,10
,1690,7888.000,10
,2080,9182.000,9
,2290,9154.000,9
,1580,6978.000,9
,2330,7192.000,9
,2600,9751.000,9
,1920,6795.000,9
,1900,6906.000,9
Mobile,-2147483650,10868.000,9
,2270,7825.000,9
,2220,12694.000,9
,2090,7184.000,9
,1600,10150.500,8
,1870,10855.000,8
,2350,6938.500,8
,2010,10677.500,8
,2040,6358.500,8
,2320,7977.500,8
,2500,8950.000,8
,2170,7853.000,8
,2390,8199.500,8
,2510,9566.500,8
,2360,10102.000,8
Other,410,6859.000,7
,2260,7953.000,7
,2310,7692.000,7
,2630,12208.000,7
,2140,7703.000,7
,2250,10226.000,7
,2190,11809.000,7
,2530,10881.000,7
,2450,10623.000,7
,2610,11888.500,6
,2740,9538.000,6
,2410,16052.000,6
,2720,8178.500,6
,2280,7725.000,6
,2620,10563.000,6
,2650,10614.000,6
,3000,11495.000,6
,2180,10677.500,6
,2540,10261.500,6
,2240,7012.500,6
,2820,7555.500,6
,2590,5489.500,6
,2130,4804.000,6
,2660,6882.500,6
,2680,10941.000,6
,2070,8118.000,6
,2810,13051.000,6
,3970,14205.500,6
,3010,5083.000,5
,2970,6785.000,5
,3110,9471.000,5
Other,420,6474.000,5
,2690,9697.000,5
,2750,11020.000,5
,2470,12083.000,5
Other,490,9313.000,5
Other,350,9705.000,5
,3580,10118.000,5
,2640,7650.000,5
,2870,9832.000,5
,2300,16376.000,5
,2880,7814.000,5
,2950,12170.000,4
,1960,9896.000,4
Other,330,4489.500,4
,2910,9673.000,4
,3140,7413.000,4
,3680,8708.500,4
,3280,11017.000,4
Desktop,-20,10785.000,4
,3250,9733.500,4
,2440,7699.000,4
Other,550,2743.000,4
,2370,7800.000,4
,3030,9855.000,4
,3080,9936.500,4
,2830,11619.000,4
,2460,11692.500,4
,2430,7079.000,4
,2580,10045.500,4
,4010,12185.000,4
Other,500,7579.000,4
,3480,9631.000,4
,2420,7763.000,4
,3160,25148.500,4
,3380,8774.000,4
,3810,13074.000,4
,3210,10690.000,4
,3600,13113.000,3
,2930,13422.000,3
,2480,15308.000,3
Other,370,2086.000,3
,3910,10245.000,3
,2700,14007.000,3
,2790,9889.000,3
,2890,11710.000,3
,2340,7009.000,3
Other,390,9845.000,3
Other,870,11425.000,3
,3150,11660.000,3
,2860,9851.000,3
,3120,7846.000,3
,3880,11464.000,3
,2940,13011.000,3
Other,1510,23395.000,3
Other,100,2836.000,3
,3750,8903.000,3
,2670,8000.000,3
Other,2080,11850.000,3
,2780,10531.000,3
,3340,11855.000,3
Other,260,9219.000,3
Other,740,5061.000,3
,3040,7830.000,3
Other,1220,4174.000,3
,3800,10921.000,3
,2150,8207.000,3
Other,530,2716.000,3
,2710,8651.000,3
Other,1340,16409.000,3
,3620,8721.000,3
,2520,7340.000,3
,4390,24295.000,3
,3780,10455.000,3
,2850,14974.000,3
,4030,14038.000,3
Other,840,4669.000,3
,3830,5519.000,3
Other,650,8120.000,3
,3550,6721.000,3
Other,880,4674.000,3
,2980,11204.000,3
Other,610,4335.000,3
Other,510,13185.000,3
