DEVICETYPENAME,bytesImg,avg_visual_complete,median_visual_complete,visual_complete_90,FREQ
Desktop,1180000,7327.557243,6100,11500,9809
Desktop,1190000,7328.851306,6100,11500,9570
Desktop,1200000,7342.621926,6100,11500,9514
Desktop,1210000,7340.799537,6200,11700,9493
Desktop,1220000,7472.690717,6200,11900,9674
Desktop,1230000,7381.736701,6200,11700,9324
Desktop,1240000,7395.806195,6300,11700,9298
Desktop,1250000,7432.615582,6200,11700,9370
Desktop,1260000,7413.329557,6300,11700,9003
Desktop,1270000,7479.4587,6200,12000,9322
Desktop,1280000,7505.893221,6200,11800,9131
Desktop,1290000,7579.605939,6300,12000,8958
Desktop,1300000,7469.599797,6300,11800,8878
Desktop,1310000,7588.210405,6400,11900,9092
Desktop,1320000,7631.978112,6400,11900,8772
Desktop,1330000,7670.40745,6400,12200,8752
Desktop,1340000,7535.937936,6400,12000,8604
Desktop,1350000,7627.089794,6400,12000,8642
Desktop,1360000,7637.470843,6400,12100,8300
Desktop,1370000,7503.643258,6300,11900,8373
Desktop,1380000,7653.481706,6400,12000,8418
Desktop,1390000,7739.932415,6600,12000,8715
Desktop,1400000,7712.682886,6500,12300,8303
Desktop,1410000,7710.131454,6600,12000,8193
Desktop,1420000,7656.876999,6500,12000,8130
Desktop,1430000,7706.908466,6500,12000,8150
Desktop,1440000,7830.471889,6600,12300,8093
Desktop,1450000,7747.220457,6600,12100,8183
Desktop,1460000,7856.802015,6700,12300,7940
Desktop,1470000,7847.180525,6700,12200,8154
Desktop,1480000,7664.435948,6500,12100,8618
Desktop,1490000,7865.16942,6700,12400,7809
Desktop,1500000,8026.997908,6700,12300,7649
Desktop,1510000,8012.21136,6700,12600,7641
Desktop,1520000,7946.595082,6800,12300,7604
Desktop,1530000,8007.782122,6800,12400,7596
Desktop,1540000,8076.814987,6800,12500,7513
Desktop,1550000,8060.672644,6800,12500,7417
Desktop,1560000,8065.012968,6900,12300,7634
Desktop,1570000,8066.977583,6900,12600,7316
Desktop,1580000,8071.173849,6900,12500,7472
Desktop,1590000,8094.38787,6900,12400,7304
Desktop,1600000,8181.670981,7000,12800,7185
Desktop,1610000,8137.43559,7000,12700,7266
Desktop,1620000,8304.902819,7000,12600,7059
Desktop,1630000,8241.569113,7000,12700,7032
Desktop,1640000,8189.296393,7000,12700,6903
Desktop,1650000,8208.399131,7000,12800,7133
Desktop,1660000,8185.10724,7100,12700,7003
Desktop,1670000,8197.030441,7000,12700,6800
Desktop,1680000,8210.729876,7100,13000,7019
Desktop,1690000,8187.403774,7100,12800,6890
Desktop,1700000,8198.803165,7100,12800,6762
Desktop,1710000,8385.178037,7100,13000,6611
Desktop,1720000,8411.732234,7200,13000,6487
Desktop,1730000,8290.115367,7200,13000,6605
Desktop,1740000,8299.697218,7100,12900,6579
Desktop,1750000,8366.139449,7200,13000,6246
Desktop,1760000,8383.736394,7300,12900,6339
Desktop,1770000,8383.841085,7200,12900,6343
Desktop,1780000,8400.333228,7300,13100,6335
Desktop,1790000,8376.80509,7300,13000,6208
Desktop,1800000,8421.043617,7300,13000,6259
Desktop,1810000,8463.905175,7400,12900,6106
Desktop,1820000,8548.324097,7300,13000,6171
Desktop,1830000,8401.209628,7200,13100,6211
Desktop,1840000,8464.449772,7400,13200,6132
Desktop,1850000,8561.058948,7400,13100,6158
Desktop,1860000,8573.488052,7300,13200,6110
Desktop,1870000,8542.158693,7500,13100,5999
Desktop,1880000,8678.904603,7500,13500,5996
Desktop,1890000,8728.289148,7600,13400,5907
Desktop,1900000,8717.538329,7600,13100,5805
Desktop,1910000,8824.584663,7600,13700,5764
Desktop,1920000,8814.760621,7600,13500,5861
Desktop,1930000,8770.8747,7600,13600,5826
Desktop,1940000,8624.378383,7600,13100,5653
Desktop,1950000,8809.717704,7600,13300,5558
Desktop,1960000,8859.505011,7600,13700,5588
Desktop,1970000,8832.145484,7600,13700,5547
Desktop,1980000,8827.520471,7800,13600,5520
Desktop,1990000,8897.945165,7700,13600,5398
Desktop,2000000,8865.413667,7700,13600,5473
Desktop,2010000,9000.218643,7700,13800,5525
Desktop,2020000,9136.853707,8000,13900,5571
Desktop,2030000,8817.665501,7700,13400,5435
Desktop,2040000,8912.94905,7800,13800,5476
Desktop,2050000,9008.641133,7800,13700,5509
Desktop,2060000,8954.52381,7900,13500,5418
Desktop,2070000,9050.303477,7900,13600,5292
Desktop,2080000,8994.871172,8000,13800,5224
Desktop,2090000,8931.871994,7800,13700,5281
Desktop,2100000,8983.71086,7800,13800,5046
Desktop,2110000,8922.366901,7700,13500,5124
Desktop,2120000,8998.418413,8000,13800,4866
Desktop,2130000,9074.615338,8000,13700,4916
Desktop,2140000,9143.085327,8000,13700,5016
Desktop,2150000,8890.927843,7900,13600,5003
Desktop,2160000,9023.578289,7900,13800,5039
Desktop,2170000,9048.85619,7900,13800,4798
Desktop,2180000,8988.971814,8000,14000,4896
Desktop,2190000,9057.557971,8000,13800,4830
Desktop,2200000,9262.285981,8000,14000,4815
Desktop,2210000,9178.69143,8200,14000,4819
Desktop,2220000,9148.365352,8000,13800,4768
Desktop,2230000,9210.986704,8000,14200,4588
Desktop,2240000,9189.133392,8100,14100,4573
Desktop,2250000,9177.310657,8100,14100,4645
Desktop,2260000,9418.078816,8300,14400,4796
Desktop,2270000,9319.137718,8200,14000,4698
Desktop,2280000,9201.114349,8000,13800,4495
Desktop,2290000,9462.457149,8200,14200,4504
Desktop,2300000,9359.656863,8100,14300,4692
Desktop,2310000,9278.07593,8200,14100,4570
Desktop,2320000,9167.734125,8100,14300,4630
Desktop,2330000,9300.877887,8300,14000,4676
Desktop,2340000,10024.05943,8900,15600,5250
Desktop,2350000,9687.087578,8300,14800,4476
Desktop,2360000,9506.779623,8400,14400,4515
Desktop,2370000,9379.588829,8300,14000,4458
Desktop,2380000,9448.693236,8400,14300,4391
Desktop,2390000,9567.770216,8400,14300,4452
Desktop,2400000,9346.501612,8300,14500,4342
Desktop,2410000,9507.431003,8300,14200,4348
Desktop,2420000,9499.143437,8500,14500,4190
Desktop,2430000,9573.360945,8500,14400,4189
Desktop,2440000,9506.976363,8500,14400,4273
Desktop,2450000,9753.297251,8500,14900,4111
Desktop,2460000,9630.385137,8500,14600,4279
Desktop,2470000,9641.55804,8600,14500,4204
Desktop,2480000,9640.075337,8600,14500,4075
Desktop,2490000,9613.558632,8400,14500,4153
Desktop,2500000,9660.051797,8600,14600,4035
Desktop,2510000,9802.848793,8600,14800,3935
Desktop,2520000,9496.971401,8500,14300,4091
Desktop,2530000,9684.094681,8600,15000,3929
Desktop,2540000,9737.404553,8600,14500,3997
Desktop,2550000,9607.245835,8600,14400,3962
Desktop,2560000,9719.055542,8600,14500,4015
Desktop,2570000,9854.024158,8700,15000,3891
Desktop,2580000,9832.924814,8700,14900,3897
Desktop,2590000,9896.900432,8700,15200,3706
Desktop,2600000,9756.060854,8700,14900,3796
Desktop,2610000,9838.982209,8700,14700,3766
Desktop,2620000,9902.489703,8700,15200,3739
Desktop,2630000,9771.528007,8700,14600,3642
Desktop,2640000,9939.547185,8800,15000,3730
Desktop,2650000,10078.24384,8900,15200,3732
Desktop,2660000,9767.07665,8800,14800,3666
Desktop,2670000,9807.787138,8900,14900,3763
Desktop,2680000,9836.395465,8800,15000,3616
Desktop,2690000,9827.824499,8800,15000,3641
Desktop,2700000,10021.30276,8900,15300,3554
Desktop,2710000,9856.60396,8900,14900,3636
Desktop,2720000,9794.785063,8800,14800,3508
Desktop,2730000,10203.55632,9000,15600,3631
Desktop,2740000,10021.39262,8900,15200,3525
Desktop,2750000,10047.73911,8900,15200,3557
Desktop,2760000,10130.11778,9000,15401,3583
Desktop,2770000,10236.10969,9100,15000,3437
Desktop,2780000,9960.678529,8900,15000,3400
Desktop,2790000,10211.92845,9000,15200,3438
Desktop,2800000,10144.16272,9200,15000,3417
Desktop,2810000,10127.5441,9100,15401,3413
Desktop,2820000,10272.7196,9100,15401,3306
Desktop,2830000,10102.65023,9200,15401,3325
Desktop,2840000,10325.39083,9200,15500,3403
Desktop,2850000,10103.97069,9100,15401,3275
Desktop,2860000,10238.13647,9100,15700,3312
Desktop,2870000,10241.99261,9200,15301,3246
Desktop,2880000,10296.51512,9200,15300,3240
Desktop,2890000,10300.35975,9200,15500,3369
Desktop,2900000,10307.88243,9300,15500,3198
Desktop,2910000,10301.8274,9100,15300,3233
Desktop,2920000,10008.24401,9000,15000,3131
Desktop,2930000,10449.64315,9300,16000,3189
Desktop,2940000,10199.87224,9100,15500,3084
Desktop,2950000,10244.25095,9300,15401,3164
Desktop,2960000,10297.21129,9300,15300,3152
Desktop,2970000,10380.62034,9300,15700,3137
Desktop,2980000,10577.57058,9300,15700,3018
Desktop,2990000,10358.6284,9300,15700,3084
Desktop,3000000,10343.25266,9300,15800,3008
Desktop,3010000,10468.57708,9400,15700,3010
Desktop,3020000,10408.99769,9400,15700,3035
Desktop,3030000,10595.16961,9400,16000,3001
Desktop,3040000,10770.4119,9600,16300,2957
Desktop,3050000,10667.90062,9400,16100,3059
Desktop,3060000,10513.51634,9500,15800,2938
Desktop,3070000,10319.62721,9400,15800,2991
Desktop,3080000,10417.21856,9500,15600,2910
Desktop,3090000,10559.2836,9400,16000,2969
Desktop,3100000,10719.83474,9500,16000,2844
Desktop,3110000,10566.85232,9400,15700,2932
Desktop,3120000,10563.4723,9600,16100,2888
Desktop,3130000,10418.12575,9500,15600,2847
Desktop,3140000,10655.86996,9500,15500,2830
Desktop,3150000,10679.81149,9700,16000,2907
Desktop,3160000,10712.89413,9700,16000,2777
Desktop,3170000,10744.03604,9800,16000,2941
Desktop,3180000,10823.09898,9600,16300,2940
Desktop,3190000,10562.24192,9600,15800,2815
Desktop,3200000,10968.68966,9700,16100,2871
Desktop,3210000,10563.49841,9700,15900,2827
Desktop,3220000,10661.26159,9600,15700,2718
Desktop,3230000,10898.77984,10000,16100,2698
Desktop,3240000,10907.33431,9800,16000,2728
Desktop,3250000,10878.9923,10000,16300,2727
Desktop,3260000,10709.53986,9700,16000,2747
Desktop,3270000,11019.84845,9900,16300,2580
Desktop,3280000,10779.05568,9800,16400,2640
Desktop,3290000,11043.85284,10100,16300,2691
Desktop,3300000,10861.94423,9900,16100,2546
Desktop,3310000,10937.28728,9800,16400,2548
Desktop,3320000,10927.3929,9800,16500,2647
Desktop,3330000,11051.36699,9800,16200,2605
Desktop,3340000,10774.84729,9900,16300,2580
Desktop,3350000,11025.1217,10100,16500,2572
Desktop,3360000,11243.07365,10200,17000,2417
Desktop,3370000,11132.9351,10000,16600,2496
Desktop,3380000,11102.20753,10100,16500,2496
Desktop,3390000,11311.20508,9900,17200,2482
Desktop,3400000,10926.89522,10000,16700,2510
Desktop,3410000,11046.19896,10000,16500,2498
Desktop,3420000,11232.4646,10200,16700,2486
Desktop,3430000,10934.37964,9900,16300,2397
Desktop,3440000,10971.97307,10000,16500,2451
Desktop,3450000,11090.57682,10000,16700,2493
Desktop,3460000,11356.66653,10200,17000,2402
Desktop,3470000,10976.75729,10000,16400,2435
Desktop,3480000,11108.13428,10200,16400,2398
Desktop,3490000,11316.62533,10300,17400,2274
Desktop,3500000,11249.80724,10200,16900,2293
Desktop,3510000,11234.09987,10100,16600,2273
Desktop,3520000,11209.97705,10200,16700,2396
Desktop,3530000,11243.34639,10200,16900,2298
Desktop,3540000,11112.23064,10200,16400,2298
Desktop,3550000,11094.98166,10100,16400,2290
Desktop,3560000,11138.10549,10300,16700,2294
Desktop,3570000,11219.35976,10300,16700,2371
Desktop,3580000,11385.0867,10300,17000,2353
Desktop,3590000,11015.31612,10200,16500,2227
Desktop,3600000,11556.92387,10500,17000,2233
Desktop,3610000,11190.13664,10300,16500,2159
Desktop,3620000,11600.18029,10600,17700,2263
Desktop,3630000,11107.22703,10200,16500,2242
Desktop,3640000,11449.5697,10400,17100,2310
Desktop,3650000,11144.66835,10400,16100,2174
Desktop,3660000,11580.72112,10500,17200,2173
Desktop,3670000,11595.55972,10600,17000,2160
Desktop,3680000,11368.47249,10400,16800,2163
Desktop,3690000,11479.73288,10600,17000,2190
Desktop,3700000,11489.7132,10500,17000,2099
Desktop,3710000,11522.60897,10600,17000,2097
Desktop,3720000,11515.46382,10500,16900,2128
Desktop,3730000,11732.88431,10500,17300,2135
Desktop,3740000,11557.72789,10700,17200,2058
Desktop,3750000,11826.87066,10700,17100,2103
Desktop,3760000,11742.58955,10600,17300,2010
Desktop,3770000,11513.44526,10700,17200,2046
Desktop,3780000,11666.3304,10600,17200,2043
Desktop,3790000,11707.90755,10600,17600,2012
Desktop,3800000,11557.73283,10800,17100,1980
Desktop,3810000,11590.26644,10700,16800,2023
Desktop,3820000,11554.28493,10700,17100,1997
Desktop,3830000,11635.8122,10800,17100,1885
Desktop,3840000,11720.56507,10700,17400,2067
Desktop,3850000,11585.96236,10700,17300,1966
Desktop,3860000,11665.363,10600,17300,1989
Desktop,3870000,11557.28027,10600,17100,2048
Desktop,3880000,11653.16355,10700,17100,1981
Desktop,3890000,11953.04701,11000,17600,2021
Desktop,3900000,11936.60533,10800,17500,1989
Desktop,3910000,12070.36837,10900,18000,1903
Desktop,3920000,11571.72469,10700,16600,1867
Desktop,3930000,12031.91032,10900,18100,1918
Desktop,3940000,11685.63309,10800,17900,1886
Desktop,3950000,11611.21388,10600,17000,1945
Desktop,3960000,11751.10609,10900,17600,1904
Desktop,3970000,11668.89631,10900,17100,1842
Desktop,3980000,11655.65622,10800,17300,1946
Desktop,3990000,11895.12995,11100,17600,1970
Desktop,4000000,11818.27635,11000,17400,1784
Desktop,4010000,12203.58338,11200,17800,1817
Desktop,4020000,11888.56768,10900,17500,1906
Desktop,4030000,11680.06771,11000,17300,1861
Desktop,4040000,12103.16007,11000,18100,1743
Desktop,4050000,11854.32879,11200,17300,1907
Desktop,4060000,12381.50321,11400,18300,1870
Desktop,4070000,12017.66496,11100,17500,1755
Desktop,4080000,12153.6439,11200,18100,1786
Desktop,4090000,11810.88588,11200,17400,1700
Desktop,4100000,12005.00798,11100,17400,1879
Desktop,4110000,12072.91815,11100,18200,1857
Desktop,4120000,12117.343,11200,18600,1828
Desktop,4130000,11961.92038,11100,17700,1796
Desktop,4140000,12320.23801,11400,18300,1710
Desktop,4150000,11879.99335,11100,17500,1654
Desktop,4160000,12104.40823,11300,18000,1749
Desktop,4170000,12111.37225,11300,17800,1636
Desktop,4180000,12187.68368,11300,18000,1802
Desktop,4190000,12422.92127,11500,18600,1702
Desktop,4200000,12212.66823,11300,18000,1706
Desktop,4210000,12021.24707,11400,17900,1704
Desktop,4220000,12311.29933,11500,17900,1647
Desktop,4230000,11910.57084,11000,18000,1694
Desktop,4240000,12037.6929,11300,18200,1677
Desktop,4250000,12371.73439,11500,18600,1698
Desktop,4260000,12267.80444,11300,18300,1621
Desktop,4270000,12224.58141,11400,18300,1603
Desktop,4280000,12312.84582,11500,17900,1628
Desktop,4290000,12167.00631,11300,18000,1585
Desktop,4300000,11967.88435,11500,17500,1591
Desktop,4310000,12179.96731,11400,18400,1652
Desktop,4320000,12491.59988,11600,18800,1642
Desktop,4330000,12334.19937,11500,17900,1585
Desktop,4340000,12474.54316,11500,18600,1622
Desktop,4350000,12558.39871,11700,19400,1555
Desktop,4360000,12298.91055,11700,18200,1554
Desktop,4370000,12487.31789,11700,18500,1576
Desktop,4380000,12108.87845,11400,18400,1522
Desktop,4390000,12422.99543,11700,18700,1531
Desktop,4400000,12797.42732,11900,18600,1706
Desktop,4410000,12915.34309,11800,19000,1571
Desktop,4420000,12672.12875,11800,18300,1600
Desktop,4430000,12502.84544,11600,18200,1514
Desktop,4440000,12053.9876,11600,18200,1532
Desktop,4450000,12511.50562,12000,18100,1513
Desktop,4460000,12625.03765,11700,19000,1514
Desktop,4470000,12954.59805,11900,18800,1535
Desktop,4480000,12784.59797,11900,18800,1480
Desktop,4490000,12600.27043,11900,18200,1505
Desktop,4500000,12701.02997,11800,19200,1468
Desktop,4510000,12550.82609,11900,18300,1403
Desktop,4520000,12879.55363,11900,19000,1501
Desktop,4530000,13040.62117,12000,19500,1502
Desktop,4540000,12158.49822,11700,18000,1407
Desktop,4550000,12811.5301,12000,18700,1362
Desktop,4560000,12808.4711,11900,18900,1488
Desktop,4570000,13271.73656,12200,19400,1507
Desktop,4580000,12685.30383,12100,19000,1435
Desktop,4590000,12759.29681,12000,18500,1442
Desktop,4600000,12892.91565,12000,19000,1482
Desktop,4610000,13016.60043,12200,19300,1404
Desktop,4620000,13122.56106,12100,18700,1392
Desktop,4630000,12757.79033,12000,19000,1407
Desktop,4640000,13088.80071,12000,18600,1410
Desktop,4650000,13048.80901,12200,19100,1377
Desktop,4660000,12892.98555,12200,18200,1453
Desktop,4670000,12733.06922,12200,18900,1358
Desktop,4680000,13136.71952,12200,19800,1419
Desktop,4690000,12903.12627,12300,19200,1378
Desktop,4700000,12627.90168,11900,18800,1312
Desktop,4710000,13369.08718,12300,19900,1365
Desktop,4720000,13083.60015,12300,18900,1323
Desktop,4730000,12722.04025,12100,18500,1416
Desktop,4740000,12707.33309,11900,18900,1378
Desktop,4750000,12653.48168,12300,19000,1337
Desktop,4760000,13097.61182,12200,19100,1337
Desktop,4770000,13109.77018,12300,19300,1301
Desktop,4780000,12819.49547,12200,18500,1324
Desktop,4790000,13177.49611,12500,19000,1284
Desktop,4800000,13059.85585,12400,18700,1325
Desktop,4810000,13322.43911,12500,19600,1355
Desktop,4820000,13362.9669,12400,19400,1269
Desktop,4830000,13294.06672,12600,19200,1229
Desktop,4840000,12847.21194,12500,19000,1307
Desktop,4850000,13222.22213,12500,19500,1256
Desktop,4860000,12975.82626,12700,19100,1249
Desktop,4870000,13698.46802,12600,20000,1235
Desktop,4880000,13031.65667,12200,19800,1267
Desktop,4890000,12982.49155,12500,19200,1302
Desktop,4900000,13053.54265,12500,19000,1231
Desktop,4910000,13160.00405,12600,19500,1235
Desktop,4920000,13461.00333,12700,19700,1200
Desktop,4930000,13416.46462,12800,19800,1173
Desktop,4940000,13056.82323,12400,19200,1188
Desktop,4950000,13356.81092,12700,19400,1264
Desktop,4960000,13227.80996,12800,19300,1205
Desktop,4970000,13356.0008,12700,19500,1243
Desktop,4980000,12978.55901,12600,19400,1254
Desktop,4990000,13660.60429,12800,20300,1213
Desktop,5000000,11798.18996,11100,17500,1653
Desktop,5010000,13529.88515,12800,20400,1158
Desktop,5020000,13266.36201,12700,19500,1174
Desktop,5030000,13273.4205,12700,19200,1151
Desktop,5040000,13230.66524,12800,19600,1171
Desktop,5050000,13000.09471,12700,19400,1172
Desktop,5060000,13701.87345,13100,19300,1130
Desktop,5070000,13440.51637,13000,19500,1222
Desktop,5080000,13524.09106,12900,19700,1208
Desktop,5090000,13401.4891,12600,20500,1147
Desktop,5100000,13330.91506,12900,20000,1142
Desktop,5110000,14147.04957,13300,21300,1150
Desktop,5120000,13117.23221,12700,19100,1068
Desktop,5130000,13675.27098,13000,20100,1144
Desktop,5140000,13637.85224,13100,20100,1049
Desktop,5150000,14016.55484,13300,20500,1094
Desktop,5160000,13883.5639,13100,20300,1119
Desktop,5170000,13758.875,13200,20500,1184
Desktop,5180000,13808.33846,13000,20400,1105
Desktop,5190000,13783.35679,13000,20100,1009
Desktop,5200000,13494.25133,12900,19400,1130
Desktop,5210000,14188.53388,13700,20300,1107
Desktop,5220000,13542.77739,12800,20400,1141
Desktop,5230000,13256.60673,12900,19400,1129
Desktop,5240000,13984.06223,13200,20500,1173
Desktop,5250000,13907.14273,13300,20900,1107
Desktop,5260000,13736.25186,13000,20000,1076
Desktop,5270000,13947.85518,13300,20500,1091
Desktop,5280000,14014.11212,13400,19900,1106
Desktop,5290000,13739.89526,13300,20200,1098
Desktop,5300000,14033.53352,13500,20800,1059
Desktop,5310000,13669.68441,13400,20200,1052
Desktop,5320000,13595.16222,13200,20500,1011
Desktop,5330000,13630.14521,13200,19900,1095
Desktop,5340000,13596.95033,13200,20500,1047
Desktop,5350000,14119.82075,13100,21200,1060
Desktop,5360000,13371.50048,12900,20200,1049
Desktop,5370000,14019.35462,13500,21000,1018
Desktop,5380000,14334.23852,13600,20400,1002
Desktop,5400000,14312.13252,13500,21000,1064
Desktop,5410000,14081.98207,13500,20500,1004
Desktop,5420000,14146.58555,13300,21000,1052
Desktop,5430000,13947.99719,13500,20900,1069
Desktop,5450000,13976.11324,13300,20000,1042
Desktop,5460000,14099.81331,13400,21000,1007
Desktop,5470000,14130.03469,13200,21000,1009
Desktop,5480000,14209.69634,13500,20500,1011
Desktop,5500000,14107.88287,13500,20500,1016
Desktop,5530000,14460.10547,13700,21000,1005
Desktop,5540000,14215.69911,13700,21000,1007
Desktop,5560000,14137.59202,13500,20600,1027
Mobile,0,6370.444423,5500,11000,121587
Mobile,10000,8507.631519,6900,13600,102822
Mobile,20000,8686.114576,7000,14300,83866
Mobile,30000,9042.361542,7300,15100,74232
Mobile,40000,9299.034005,7800,15000,68754
Mobile,50000,9510.589787,8000,15700,59847
Mobile,60000,9585.064074,7900,15500,53438
Mobile,70000,9859.805627,8100,16200,47625
Mobile,80000,10071.71575,8200,16500,46512
Mobile,90000,10440.94088,8600,17000,43320
Mobile,100000,10351.07719,8400,17200,45109
Mobile,110000,10809.23095,8900,17800,42437
Mobile,120000,11017.10509,9100,18000,40136
Mobile,130000,11339.33567,9300,18400,39095
Mobile,140000,11435.81225,9400,18800,38572
Mobile,150000,11748.09359,9700,19400,36619
Mobile,160000,11831.52872,9700,19400,36229
Mobile,170000,11955.61679,9900,19700,35323
Mobile,180000,12030.38964,9900,19800,34142
Mobile,190000,11752.72039,9700,19300,36279
Mobile,200000,12228.78719,10100,20000,33124
Mobile,210000,12387.63982,10300,20400,32181
Mobile,220000,12479.11214,10300,20400,31647
Mobile,230000,12602.5524,10500,20700,31157
Mobile,240000,12715.84982,10400,20600,30684
Mobile,250000,12840.51552,10600,20900,29834
Mobile,260000,12846.76015,10600,21000,29635
Mobile,270000,12907.13146,10700,21000,28974
Mobile,280000,13121.5914,10800,21500,28813
Mobile,290000,13133.70941,10800,21600,28287
Mobile,300000,13278.60381,11000,21700,27527
Mobile,310000,13422.73089,11100,22000,27030
Mobile,320000,13460.63163,11100,22000,27087
Mobile,330000,13517.50965,11300,22000,26679
