DEVICETYPENAME,bytesFont,avg_visual_complete,median_visual_complete,visual_complete_90,FREQ
Mobile,0,12743.29561,9000,23500,1310484
Mobile,10000,18298.72982,13800,33000,193637
Mobile,20000,18143.38532,13700,33000,217331
Mobile,30000,17829.45527,13500,31400,246827
Mobile,40000,18725.7184,14000,33500,198574
Mobile,50000,19774.89492,15100,35100,172558
Mobile,60000,19589.4226,14701,35000,188945
Mobile,70000,20204.70853,15400,36100,191734
Mobile,80000,19669.0129,14800,35500,243454
Mobile,90000,21100.37385,16100,37700,190771
Mobile,100000,21472.87431,16300,38700,204725
Mobile,110000,22570.29737,17400,40300,185016
Mobile,120000,23071.62682,17900,41300,169400
Mobile,130000,23639.2276,18500,41900,148662
Mobile,140000,24170.33023,18900,43000,128957
Mobile,150000,24398.63738,19300,43200,114371
Mobile,160000,25300.75642,20000,44700,96839
Mobile,170000,25902.23011,20500,46100,86376
Mobile,180000,25649.44321,20500,45200,76961
Mobile,190000,25861.25997,20900,45000,70200
Mobile,200000,25857.21189,20800,45600,61986
Mobile,210000,26480.59261,21100,46800,53489
Mobile,220000,26862.3358,21700,47100,47597
Mobile,230000,26851.1183,21700,46900,42604
Mobile,240000,27083.07119,21900,47500,37380
Mobile,250000,27460.02472,22400,47600,33411
Mobile,260000,27453.96494,22100,48000,30465
Mobile,270000,27842.26374,22600,48600,27963
Mobile,280000,27324.19072,21900,48300,26305
Mobile,290000,27793.1916,22200,49000,23659
Mobile,300000,27633.70088,22300,49100,21055
Mobile,310000,27918.95983,22600,49000,18996
Mobile,320000,28183.08534,23000,49300,17190
Mobile,330000,27863.20494,22500,48900,16107
Mobile,340000,27628.24804,22300,48500,15425
Mobile,350000,27949.12386,22400,49600,13782
Mobile,360000,28114.05567,22800,49700,12736
Mobile,370000,27452.28635,21800,49300,12579
Mobile,380000,27703.0657,22500,48300,11477
Mobile,390000,29525.62478,24000,52200,9845
Mobile,400000,27920.81994,22400,49700,9197
Mobile,410000,27976.4954,22700,48800,8587
Mobile,420000,28760.86425,22900,51100,7595
Mobile,430000,29047.78422,23300,51300,7211
Mobile,440000,27876.02904,22200,49300,7265
Mobile,450000,29463.09083,23700,52000,6011
Mobile,460000,28737.36942,23900,50300,5939
Mobile,470000,31321.11833,25000,54400,5831
Mobile,480000,28449.68301,22700,50500,5202
Mobile,490000,28452.41395,22900,49400,5032
Mobile,500000,29623.57414,24200,51000,4532
Mobile,510000,28347.92598,22700,50600,4445
Mobile,520000,28841.83001,22800,51300,4412
Mobile,530000,29203.01776,23400,52600,3886
Mobile,540000,29210.06202,23100,53700,3402
Mobile,550000,25866.43023,22300,41500,5239
Mobile,560000,29328.45175,23400,51500,3150
Mobile,570000,28821.13583,23300,50500,3048
Mobile,580000,29536.48812,24000,52900,2903
Mobile,590000,29420.1232,24000,52300,2784
Mobile,600000,30643.71703,25000,54000,2654
Mobile,610000,30638.85708,25000,54300,2435
Mobile,620000,27824.09334,22900,46600,2732
Mobile,630000,30525.46494,25000,54300,2239
Mobile,640000,30865.40296,24900,53900,2092
Mobile,650000,29980.75485,24700,52400,1958
Mobile,660000,29550.31,24200,51300,2000
Mobile,670000,29300.75838,23900,50200,1730
Mobile,680000,28855.57128,23900,50400,1915
Mobile,690000,28333.52958,23100,50400,1775
Mobile,700000,28194.87667,22000,51200,2027
Mobile,710000,30899.38046,25600,54700,1443
Mobile,720000,30522.31272,24900,51800,1439
Mobile,730000,29942.8769,24200,52000,1381
Mobile,740000,29690.04719,24000,51500,1335
Mobile,750000,31272.57496,25100,55500,1254
Mobile,760000,31180.54177,25500,55600,1161
Mobile,770000,28331.64135,22100,52900,1277
Mobile,780000,30016.46498,24300,52100,1185
Mobile,810000,29847.58981,23200,51800,1158
Mobile,820000,29969.33392,24200,51900,1141
Mobile,1030000,25445.42308,22000,37600,1222
Mobile,2200000,19951.66402,22500,24200,1384
Desktop,0,5595.731252,3600,10400,962605
Desktop,10000,7102.109098,4900,12700,51284
Desktop,20000,7146.412551,5000,12900,155639
Desktop,30000,7341.110739,5000,13700,160070
Desktop,40000,7173.373735,5000,12900,121134
Desktop,50000,7291.719218,5100,13100,128591
Desktop,60000,7479.114163,5300,13400,142288
Desktop,70000,7810.821401,5500,13900,138237
Desktop,80000,7726.312262,5500,13900,168301
Desktop,90000,8026.834225,5900,14000,140232
Desktop,100000,8271.023659,6000,14800,128321
Desktop,110000,8383.738526,6100,14800,136855
Desktop,120000,8582.65739,6200,15000,131444
Desktop,130000,8839.896874,6500,15500,119010
Desktop,140000,9046.170618,6700,15800,118956
Desktop,150000,9229.444006,6900,16100,108886
Desktop,160000,9462.858556,7100,16500,95402
Desktop,170000,9638.585321,7300,16800,89925
Desktop,180000,9863.731012,7400,17000,79037
Desktop,190000,9998.805846,7600,17300,72705
Desktop,200000,10152.38334,7700,17600,65654
Desktop,210000,10270.44514,7800,17900,59035
Desktop,220000,10391.57573,8000,18100,54647
Desktop,230000,10554.79942,8000,18300,49087
Desktop,240000,10636.46449,8100,18500,44548
Desktop,250000,10722.95043,8200,18600,40187
Desktop,260000,10648.11702,8200,18500,37035
Desktop,270000,10338.98796,7900,18000,37871
Desktop,280000,10960.34376,8500,18900,30853
Desktop,290000,11071.64112,8500,19100,26842
Desktop,300000,11132.44828,8600,19300,24913
