DEVICETYPENAME,bytesHtmlDoc,avg_visual_complete,median_visual_complete,visual_complete_90,FREQ
Desktop,119000,12676.80216,9700,22600,1668
Desktop,120000,13044.2303,10100,23000,1637
Desktop,121000,12994.99499,9700,21900,1597
Desktop,122000,13000.12702,10000,23200,1606
Desktop,123000,12679.40389,9400,23100,1592
Desktop,124000,12063.81842,9500,20800,1531
Desktop,125000,12629.09481,9500,23100,1540
Desktop,126000,13100.34237,9900,23700,1475
Desktop,127000,12859.44761,9900,22400,1403
Desktop,128000,12226.94068,9800,20700,1433
Desktop,129000,12490.30268,9900,22600,1381
Desktop,130000,12436.75265,9800,21600,1415
Desktop,131000,13335.4403,10200,23900,1315
Desktop,132000,12657.09134,10100,22700,1270
Desktop,133000,12624.59611,10000,22000,1285
Desktop,134000,12917.91383,9900,23000,1323
Desktop,135000,12739.9414,9700,22100,1297
Desktop,136000,12765.12199,9600,22600,1164
Desktop,137000,12940.41347,9500,23000,1173
Desktop,138000,13832.18328,10400,23700,1184
Desktop,139000,13459.47522,10400,25100,1130
Desktop,140000,12793.3368,9800,22800,1155
Desktop,141000,12604.87728,9800,22200,1149
Desktop,142000,12826.19823,9800,22100,1130
Desktop,143000,13037.1696,10300,23200,1079
Desktop,144000,12627.47319,9600,22000,1063
Mobile,0,15973.55604,11000,33000,92983
Mobile,1000,12549.65806,7700,25500,116849
Mobile,2000,11098.48678,7700,20200,115621
Mobile,3000,11551.50756,8600,19700,141053
Mobile,4000,12604.25669,9600,21000,178585
Mobile,5000,14262.15336,10800,24500,195931
Mobile,6000,15174.98703,11400,26500,206934
Mobile,7000,15613.13327,11600,28200,238573
Mobile,8000,14977.06352,11000,27800,279270
Mobile,9000,16113.07196,12000,29100,255369
Mobile,10000,17682.74878,13500,31400,224441
Mobile,11000,18755.18507,14400,33200,207967
Mobile,12000,19567.75723,15100,34500,192295
Mobile,13000,20245.71556,15700,35600,179519
Mobile,14000,21014.1906,16400,37000,166161
Mobile,15000,21221.81761,16600,37400,162736
Mobile,16000,21413.11472,16600,38000,152830
Mobile,17000,22134.98452,17200,39500,132963
Mobile,18000,22797.56239,17900,40800,115925
Mobile,19000,23484.02732,18400,42200,104076
Mobile,20000,23131.40033,18000,42100,98412
Mobile,21000,23979.85865,18800,43100,86527
Mobile,22000,23982.20828,18800,43200,80278
Mobile,23000,23863.61896,18600,43000,73631
Mobile,24000,24069.36046,18900,43400,67345
Mobile,25000,24116.64855,18900,43400,63284
Mobile,26000,24384.30245,19000,44100,57805
Mobile,27000,24400.09413,19200,44000,53056
Mobile,28000,24475.3086,19100,44100,49157
Mobile,29000,24709.20896,19300,44500,45817
Mobile,30000,24651.46239,19200,44700,42698
Mobile,31000,24724.57216,19400,44900,39393
Mobile,32000,24806.11899,19300,45000,37045
Mobile,33000,24795.71284,19300,44900,33859
Mobile,34000,24928.53968,19600,45100,32078
Mobile,35000,24078.4271,18800,43800,30857
Mobile,36000,24627.65154,19200,44500,28491
Mobile,37000,24621.6375,19200,44000,26985
Mobile,38000,24783.67192,19500,44500,26064
Mobile,39000,24761.76285,19400,44600,24735
Mobile,40000,24842.7696,19700,44300,23815
Mobile,41000,24675.1241,19500,44500,23465
Mobile,42000,25169.65042,20100,45000,21712
Mobile,43000,25503.46132,20400,45800,20667
Mobile,44000,25576.75278,20400,45900,19626
Mobile,45000,25304.44839,20300,45700,18825
Mobile,46000,25522.21232,20400,45400,18086
Mobile,47000,25804.31564,20500,46600,16693
Mobile,48000,25607.09278,20500,45800,15650
Mobile,49000,25847.91423,20700,46400,14923
Mobile,50000,26157.93289,20900,47500,14334
Mobile,51000,25476.66089,20300,46000,13848
Mobile,52000,25483.24119,20400,45800,13330
Mobile,53000,25195.99259,19900,46000,12828
Mobile,54000,25950.09149,20500,46800,11848
Mobile,55000,25855.30761,20600,47000,11651
Mobile,56000,25158.7149,20100,44900,11368
Mobile,57000,25862.25042,20700,45900,10626
Mobile,58000,26461.44732,21200,47300,10223
Mobile,59000,26183.80552,21100,46300,9857
Mobile,60000,26429.5191,21000,47800,9505
Mobile,61000,26404.30064,21300,46800,9177
Mobile,62000,26793.43261,21400,48000,8562
Mobile,63000,26432.97976,21100,47300,8744
Mobile,64000,27004.94924,21700,48000,8136
Mobile,65000,26749.46563,21600,47800,8146
Mobile,66000,26799.20956,21900,47600,7764
Mobile,67000,27251.37512,22000,49100,7499
Mobile,68000,27014.58979,21600,48100,7289
Mobile,69000,27160.66916,22100,48000,7354
Mobile,70000,27414.62202,22400,48400,6876
Mobile,71000,26834.47296,21600,47400,6952
Mobile,72000,27608.98899,22500,49000,6447
Mobile,73000,27706.78904,22800,50100,6224
Mobile,74000,27481.05895,22400,49000,6005
Mobile,75000,27578.52873,22200,49500,5778
Mobile,76000,28026.84014,22600,51000,5680
Mobile,77000,27633.19933,22600,48900,5664
Mobile,78000,27274.43175,24300,45600,5927
Mobile,79000,27350.43872,23400,46800,5491
Mobile,80000,27246.28253,22300,47600,5072
Mobile,81000,27021.81144,22200,46900,5123
Mobile,82000,27070.54197,22000,48600,5087
Mobile,83000,27244.85311,22100,48800,5276
Mobile,84000,27522.99027,22600,49000,4830
Mobile,85000,27613.06772,22700,47800,4563
Mobile,86000,27944.20197,23200,50000,4471
Mobile,87000,28617.82119,23300,52200,4351
Mobile,88000,27896.5956,22900,49300,4132
Mobile,89000,28172.54552,22800,50200,4020
Mobile,90000,27562.9891,22400,49300,3944
Mobile,91000,27792.72448,22500,50300,4036
Mobile,92000,26963.8551,21600,48200,4058
Mobile,93000,26616.64004,21000,48400,3956
Mobile,94000,27750.45004,22400,50100,3753
Mobile,95000,27477.28204,22400,49000,3503
Mobile,96000,28049.17585,22500,50900,3429
Mobile,97000,28161.39218,22700,50800,3325
Mobile,98000,27117.15773,21400,49100,3265
Mobile,99000,28551.95812,22800,52600,3080
Mobile,100000,28403.87669,23000,51200,3179
Mobile,101000,28217.6851,22400,52600,3128
Mobile,102000,28513.51532,23400,50900,3035
Mobile,103000,29356.51838,24000,51400,2911
Mobile,104000,28399.82191,22800,50500,2684
Mobile,105000,28649.75671,23300,51300,2758
Mobile,106000,28999.24077,23700,53400,2737
Mobile,107000,29102.83438,23200,52100,2548
Mobile,108000,28094.27078,22600,51000,2563
Mobile,109000,29159.94106,23400,52800,2426
Mobile,110000,29517.50781,23900,53000,2434
Mobile,111000,29096.76323,23400,52100,2344
Mobile,112000,28250.64034,23200,51000,2216
Mobile,113000,29202.52743,23600,53000,2224
Mobile,114000,29034.68289,24000,52500,2157
Mobile,115000,29099.09713,24000,52800,2193
Mobile,116000,29804.77897,24400,54600,2054
Mobile,117000,29347.57396,24300,52300,2035
Mobile,118000,30295.33463,25000,54700,2053
Mobile,119000,29475.53893,24000,53000,1978
Mobile,120000,29569.2248,24500,52300,2024
Mobile,121000,29939.53021,24500,54300,1837
Mobile,122000,29704.72375,24000,53200,1886
Mobile,123000,29291.74188,23000,55200,1755
Mobile,124000,29381.73522,23300,53200,1877
Mobile,125000,29037.07414,23600,54000,1794
Mobile,126000,29204.11098,23900,51600,1730
Mobile,127000,29432.06076,24200,53200,1613
Mobile,128000,29332.81465,23500,53300,1597
Mobile,129000,29671.67631,24100,55400,1659
Mobile,130000,28614.84091,23300,51000,1672
Mobile,131000,28910.78129,23900,51000,1550
Mobile,132000,30521.23248,24600,56300,1484
Mobile,133000,30296.83249,24800,54500,1576
Mobile,134000,28601.21242,23100,53300,1497
Mobile,135000,30070.15518,23900,56000,1437
Mobile,136000,29346.67629,24000,51000,1455
Mobile,137000,28216.625,22500,51000,1408
Mobile,138000,30282.56365,24300,56700,1359
Mobile,139000,29533.3671,23800,52500,1313
Mobile,140000,29634.5405,23900,53400,1358
Mobile,141000,29823.58492,24300,55400,1366
Mobile,142000,29731.58062,23900,55000,1321
Mobile,143000,29967.24368,24600,53100,1227
Mobile,144000,29397.57792,23600,52600,1277
Mobile,145000,28320.39455,22600,50500,1138
Mobile,146000,28801.51211,24200,50000,1197
Mobile,147000,29795.15816,24600,54000,1195
Mobile,148000,31124.00436,24900,54600,1146
Mobile,149000,29929.07424,24000,54000,1118
Mobile,150000,30512.73466,25000,56500,1108
Mobile,151000,30264.67144,24200,55000,1047
Mobile,152000,30388.61302,24800,56900,1106
