DEVICETYPENAME,IMAGES,TTI,FREQ
Mobile,654,3792.000,18068
Desktop,656,3630.000,17834
Tablet,568,6763.500,17608
Tablet,312,5282.500,17604
Desktop,648,5095.000,17377
Tablet,571,6112.000,17364
Tablet,623,6226.000,17171
Tablet,573,7504.000,16757
Mobile,651,3962.000,16713
Mobile,650,3911.000,16607
Desktop,652,4063.000,16501
Desktop,642,4984.000,16499
Tablet,589,5873.000,16284
Desktop,951,4044.000,16221
Tablet,313,5520.000,16187
Tablet,620,6939.000,16113
Tablet,606,5290.000,15973
Mobile,3264,3603.000,15942
Mobile,657,3738.000,15939
Desktop,646,4678.000,15907
Mobile,652,3422.000,15780
Desktop,638,4775.000,15667
Desktop,651,4812.000,15429
Tablet,617,4415.000,15353
Tablet,619,4834.500,15136
Tablet,627,4673.000,15115
Tablet,625,4816.000,14995
Desktop,640,5542.000,14975
Tablet,608,8472.000,14897
Tablet,639,5069.500,14880
Mobile,2123,3627.000,14879
Desktop,650,4295.000,14663
Tablet,633,4773.000,14560
Tablet,621,7522.000,14353
Tablet,609,6307.000,14220
Tablet,656,5898.000,14169
Tablet,604,6541.000,14025
Desktop,639,4653.000,14000
Mobile,644,3477.000,13918
Desktop,1469,2764.000,13900
Tablet,635,5831.000,13787
Tablet,647,5357.000,13753
Mobile,685,4430.500,13626
Mobile,646,3454.000,13458
Desktop,667,3335.000,13315
Desktop,643,5156.000,13285
Desktop,644,4414.000,13244
Mobile,3275,3621.500,13214
Tablet,646,3714.000,13063
Mobile,648,3558.000,12985
Mobile,2113,3220.000,12861
Desktop,654,4986.000,12861
Desktop,734,4073.000,12794
Tablet,652,3858.000,12549
Tablet,641,4377.000,12207
Tablet,640,4347.000,12112
Mobile,639,4236.000,11955
Mobile,2125,3383.000,11939
Desktop,692,3437.000,11911
Tablet,616,6291.000,11881
Tablet,636,6926.500,11702
Tablet,622,6338.000,11697
Desktop,767,4621.000,11369
Desktop,724,3982.000,11365
Mobile,674,4312.000,11224
Tablet,631,6868.500,11190
Desktop,653,4658.000,10991
Mobile,669,4843.000,10855
Tablet,614,4566.000,10720
Tablet,645,3953.500,10718
Tablet,649,7261.500,10648
Mobile,656,5047.000,10462
Desktop,661,4618.500,10194
Desktop,676,4381.000,10112
Desktop,657,4601.500,10052
Tablet,626,7915.000,9997
Desktop,1474,2769.500,9878
Tablet,3269,5632.000,9847
Desktop,673,3538.000,9715
Desktop,707,4100.000,9655
Desktop,719,3522.500,9582
Desktop,733,5449.000,9567
Desktop,731,3979.000,9535
Mobile,637,7436.000,9473
Desktop,665,4210.000,9299
Desktop,3278,4450.000,9231
Desktop,660,4956.000,9158
Desktop,658,4666.500,9036
Tablet,3272,5166.000,9009
Tablet,661,3789.500,8968
Desktop,664,4166.000,8965
Tablet,624,11237.000,8779
Tablet,658,3350.500,8754
Tablet,638,7580.000,8673
Desktop,703,3420.500,8618
Desktop,1125,3684.500,8544
Desktop,655,5024.000,8538
Desktop,689,3928.000,8529
Desktop,740,4216.000,8492
Desktop,700,3701.000,8435
Desktop,725,3978.000,8432
Desktop,702,3450.000,8358
Tablet,615,6624.000,8309
Desktop,659,5219.000,8162
Mobile,663,3984.500,8146
Desktop,722,3897.500,7930
Desktop,706,4183.000,7875
Desktop,695,5883.000,7874
Tablet,667,2747.000,7862
Tablet,666,3447.000,7743
Tablet,673,3771.000,7531
Mobile,645,5717.000,7525
Tablet,2114,4083.500,7424
Desktop,718,4495.000,7395
Mobile,670,4897.500,7318
Desktop,701,4090.000,7212
Desktop,726,4036.000,7153
Desktop,732,4349.000,7101
Desktop,662,4756.000,7075
Desktop,803,4325.000,7039
Mobile,3269,3908.000,7017
Mobile,681,4179.000,6943
Tablet,644,4796.500,6878
Desktop,720,4129.500,6820
Desktop,728,4126.500,6810
Desktop,674,3969.500,6790
Desktop,697,4414.000,6774
Tablet,3265,5691.000,6769
Desktop,666,4377.000,6748
Mobile,638,6051.000,6729
Desktop,663,4840.000,6729
Desktop,681,3682.000,6701
Mobile,671,4288.500,6602
Tablet,612,8186.000,6461
Desktop,677,4659.000,6377
Desktop,690,3778.000,6343
Mobile,3272,3621.500,6312
Tablet,634,8280.500,6268
Mobile,642,7495.000,6214
Tablet,662,3386.000,6213
Desktop,730,4582.000,6127
Desktop,819,4459.000,6098
Desktop,688,4027.000,6076
Desktop,693,4358.000,6045
Mobile,641,6094.000,5999
Tablet,637,6512.500,5974
Desktop,723,4168.000,5903
Mobile,647,5708.000,5901
Desktop,669,4634.000,5853
Desktop,685,4263.000,5825
Tablet,692,2718.000,5821
Desktop,668,4619.000,5800
Desktop,721,4061.000,5757
Desktop,773,4729.000,5657
Tablet,653,7404.000,5608
Desktop,696,4861.500,5594
Desktop,750,4179.500,5588
Desktop,859,5172.500,5566
Desktop,794,4968.000,5519
Desktop,798,4652.000,5510
Desktop,1190,4131.000,5453
Desktop,705,4612.500,5446
Desktop,694,4559.000,5251
Desktop,710,4543.500,5232
Desktop,684,4873.000,5219
Desktop,679,4572.000,5195
Desktop,683,4810.000,5169
Desktop,741,4567.500,5162
Tablet,650,5204.000,5126
Tablet,655,7783.000,5116
Desktop,682,4578.000,5113
Desktop,704,4344.000,5100
Desktop,670,4744.500,5070
Mobile,813,4046.000,5065
Desktop,680,4230.000,5010
Mobile,3265,4183.000,5002
Desktop,675,4876.500,4996
Mobile,660,4156.000,4986
Desktop,861,5953.500,4966
Tablet,651,4683.000,4945
Desktop,940,3262.000,4837
Desktop,821,4767.000,4823
Desktop,818,6833.000,4761
Desktop,691,4771.000,4755
Desktop,713,4495.500,4726
Desktop,715,4759.000,4721
Desktop,717,4410.000,4688
Mobile,2114,3217.000,4664
Desktop,671,4910.000,4661
Desktop,995,11180.000,4629
Desktop,672,4777.500,4616
Desktop,788,4062.000,4451
Desktop,714,4530.500,4410
Desktop,823,3515.000,4389
Desktop,716,4771.000,4379
Desktop,784,4307.000,4318
Desktop,805,3745.000,4307
Desktop,789,5087.000,4279
Desktop,737,4814.000,4255
Mobile,664,4351.000,4245
Desktop,746,3740.000,4228
Desktop,686,4756.000,4198
Desktop,698,4817.000,4184
Desktop,711,4828.000,4174
Desktop,783,5063.000,4155
Desktop,841,5122.000,4140
Desktop,791,4712.500,4104
Desktop,770,5018.000,4071
Desktop,815,4534.000,4069
Desktop,678,4914.500,4062
Desktop,2124,3706.500,4056
Desktop,727,4390.500,3932
Desktop,699,4731.000,3922
Desktop,763,5003.000,3917
Desktop,735,5000.500,3888
Desktop,687,4636.500,3888
Mobile,665,3319.000,3813
Tablet,643,6198.000,3793
Mobile,658,5366.000,3789
Desktop,1288,2234.000,3777
Tablet,657,5522.000,3755
Desktop,742,5176.000,3730
Mobile,661,6546.000,3693
Desktop,708,5046.500,3690
Desktop,998,9931.500,3690
Desktop,729,4741.500,3688
Desktop,736,5172.000,3685
Desktop,709,5326.000,3665
Desktop,822,4169.000,3663
Desktop,872,5106.000,3658
Desktop,776,4127.000,3653
Desktop,856,4865.000,3638
Tablet,660,4636.000,3617
Tablet,642,5457.000,3613
Desktop,757,5193.000,3600
Desktop,712,4957.500,3552
Desktop,756,4460.000,3531
Desktop,852,3687.500,3528
Desktop,785,5060.500,3500
Mobile,694,3176.000,3493
Desktop,810,3799.500,3456
Desktop,778,4128.000,3439
Tablet,665,3289.000,3403
Desktop,744,5351.000,3374
Desktop,795,4889.000,3335
Desktop,806,5083.000,3325
Mobile,668,3333.000,3307
Mobile,750,4328.500,3250
Desktop,870,4904.000,3249
Desktop,759,4753.000,3225
Desktop,801,5303.500,3210
Desktop,790,4753.000,3210
Desktop,749,5196.500,3176
Desktop,857,5284.000,3149
Desktop,787,4854.000,3129
Desktop,761,4634.000,3123
Desktop,765,4977.000,3074
Desktop,1276,2787.000,3047
Desktop,771,4860.000,2999
Desktop,850,4116.500,2998
Desktop,820,4004.500,2992
Desktop,792,4349.500,2984
Desktop,882,3552.500,2978
Desktop,754,4390.000,2967
Desktop,826,5401.000,2951
Desktop,772,4116.000,2946
Desktop,777,5189.500,2910
Desktop,738,5058.500,2876
Desktop,830,6268.000,2834
Desktop,854,5093.000,2831
Desktop,813,4059.000,2823
Desktop,752,4748.000,2809
Desktop,768,4535.000,2795
Desktop,853,4947.000,2775
Desktop,1278,2733.000,2772
Desktop,952,4722.500,2772
Desktop,743,5207.000,2759
Mobile,659,5542.000,2756
Tablet,702,2917.000,2750
Desktop,807,4098.000,2740
Desktop,1479,2816.000,2737
Desktop,802,4098.500,2734
Desktop,2258,3106.000,2715
Tablet,659,4200.000,2701
Desktop,755,5225.000,2691
Desktop,864,4917.000,2678
Mobile,865,3822.000,2667
Desktop,748,5028.000,2667
Desktop,762,4793.000,2667
Desktop,739,4969.000,2625
Desktop,753,4809.000,2615
Desktop,824,5049.000,2600
Tablet,664,3735.000,2593
Mobile,768,3123.500,2574
Desktop,804,4640.000,2568
Tablet,676,3959.000,2567
Desktop,829,5221.000,2565
Desktop,760,4876.000,2528
Desktop,751,4956.000,2523
Desktop,2256,3170.000,2522
Tablet,672,6832.000,2510
Desktop,781,5129.000,2501
Desktop,848,4257.000,2492
Tablet,648,6144.000,2487
Desktop,764,4973.000,2478
Desktop,766,5028.000,2466
Desktop,800,4917.500,2466
Desktop,799,4416.000,2463
Mobile,675,4357.500,2460
Mobile,679,3758.000,2456
Desktop,745,5175.000,2454
Tablet,674,4492.000,2452
Tablet,767,3916.000,2447
Tablet,663,3758.000,2439
Desktop,996,13890.500,2436
Tablet,689,3056.000,2434
Tablet,940,2805.000,2425
Desktop,758,4877.000,2423
Desktop,809,4946.000,2419
Desktop,827,4498.000,2411
Desktop,825,5049.000,2405
Mobile,666,4140.500,2402
Tablet,703,3021.000,2393
Desktop,769,4550.000,2378
Tablet,734,4249.000,2373
Desktop,780,4712.000,2373
Desktop,796,4811.500,2358
Mobile,731,4372.000,2334
Desktop,786,5050.000,2327
Desktop,782,4757.000,2325
Mobile,872,3651.000,2324
Tablet,724,4098.500,2310
Desktop,775,4746.000,2305
Desktop,2248,3256.000,2298
Desktop,936,3942.000,2287
Tablet,654,7534.000,2281
Desktop,817,4748.000,2280
Mobile,667,3988.500,2264
Tablet,3278,4564.000,2263
Desktop,797,4737.000,2255
Desktop,793,4968.000,2241
Desktop,816,4725.000,2241
Mobile,700,4313.000,2227
Desktop,838,5442.000,2213
Tablet,669,5792.000,2209
Desktop,747,4911.000,2207
Desktop,939,4838.000,2201
Mobile,2283,2560.500,2192
Desktop,779,4904.000,2188
Desktop,812,4637.000,2175
Desktop,828,5104.500,2174
Desktop,774,4815.000,2167
Desktop,858,5064.000,2162
Desktop,884,4642.000,2142
Desktop,865,5206.000,2130
Tablet,700,3081.500,2130
Mobile,703,3349.500,2128
Desktop,1280,2358.000,2126
Desktop,2254,3172.000,2119
Desktop,849,4844.000,2119
Mobile,722,3262.000,2115
Mobile,677,4305.000,2107
Mobile,713,4426.500,2092
Mobile,761,4051.000,2087
Mobile,841,3439.000,2081
Desktop,878,4911.000,2064
Desktop,814,4724.500,2026
Desktop,876,5050.000,2026
Mobile,741,5083.000,2024
Desktop,851,4697.000,2015
Tablet,1469,3511.000,2013
Desktop,863,5093.000,2013
Tablet,803,3426.500,1998
Desktop,843,4804.000,1987
Tablet,750,4130.000,1981
Mobile,1048,3505.000,1977
Mobile,1104,3692.500,1974
Desktop,1279,2421.000,1968
Desktop,811,4817.500,1968
Tablet,993,11545.000,1953
Mobile,2284,5255.000,1952
Desktop,808,4759.000,1950
Desktop,1277,2616.500,1942
Mobile,1469,3091.000,1924
Desktop,883,4785.000,1920
Desktop,877,5049.000,1918
Mobile,970,3369.000,1917
Desktop,2252,3344.000,1901
Desktop,902,4811.500,1896
Desktop,873,5178.500,1896
Mobile,690,4819.500,1896
Mobile,749,4044.500,1884
Desktop,832,5214.500,1880
Mobile,730,3578.000,1877
Desktop,1078,3333.500,1876
Mobile,695,4157.500,1868
Mobile,691,4177.000,1857
Desktop,844,5118.000,1853
Tablet,670,5799.000,1848
Mobile,688,3965.000,1847
Desktop,834,4728.000,1845
Desktop,845,4757.000,1839
Desktop,934,3872.000,1835
Desktop,842,4899.500,1834
Desktop,935,4605.000,1825
Desktop,831,5116.500,1818
Tablet,731,4398.500,1814
Mobile,683,4337.000,1813
Desktop,1003,6725.000,1806
Tablet,722,3333.500,1802
Desktop,840,4830.500,1800
Desktop,948,5606.000,1800
Desktop,835,5004.000,1800
Desktop,881,5006.000,1778
Mobile,739,3545.000,1775
Mobile,689,4019.000,1772
Desktop,860,4910.000,1754
Desktop,2211,4860.000,1750
Mobile,3278,3710.500,1748
Desktop,847,4917.500,1748
Mobile,676,4228.500,1744
Desktop,2110,3514.000,1743
Desktop,869,5164.000,1733
Desktop,867,4912.500,1732
Mobile,724,3363.000,1731
Desktop,904,4172.000,1727
Tablet,707,4298.000,1713
Desktop,875,5246.000,1711
Desktop,874,4952.000,1709
Tablet,740,4126.000,1709
Desktop,855,4988.000,1687
Desktop,1006,6570.000,1680
Mobile,1156,3879.000,1680
Tablet,996,11488.000,1679
Desktop,833,4911.000,1676
Tablet,688,3065.500,1674
Desktop,943,5191.000,1661
Desktop,955,4846.000,1660
Desktop,905,4490.500,1654
Desktop,839,4899.000,1649
Desktop,837,5001.500,1626
Desktop,836,5022.000,1615
Mobile,725,3645.500,1612
Mobile,734,3309.500,1610
Desktop,897,5466.500,1598
Desktop,871,4998.500,1592
Desktop,942,5186.500,1592
Desktop,999,11878.000,1580
Desktop,941,4731.000,1578
Tablet,725,3980.500,1558
Tablet,685,4206.000,1554
Desktop,879,5314.500,1554
Mobile,701,3600.000,1553
Tablet,681,3131.000,1552
Mobile,740,4539.000,1549
Mobile,770,4182.000,1543
Tablet,690,3023.500,1536
Mobile,962,4966.500,1526
Desktop,2285,6753.000,1524
Desktop,901,5016.000,1519
Desktop,846,5078.000,1518
Desktop,966,4862.500,1518
Desktop,885,4968.000,1515
Desktop,887,5050.500,1504
Desktop,1966,3736.000,1503
Mobile,800,3952.000,1503
Tablet,721,3042.500,1492
Desktop,946,4973.000,1491
Mobile,687,4670.000,1486
Mobile,767,4680.000,1479
Mobile,678,4617.000,1475
Desktop,862,5226.000,1472
Tablet,671,4944.500,1468
Desktop,2221,2682.500,1468
Desktop,945,5323.000,1466
Desktop,886,4783.500,1466
Mobile,686,3746.000,1465
Desktop,947,5371.000,1458
Desktop,970,5190.000,1452
Desktop,1980,3605.500,1450
Desktop,880,5017.000,1448
Desktop,2260,2549.000,1448
Tablet,701,3448.500,1444
Mobile,697,3356.500,1442
Desktop,866,5317.000,1431
Desktop,888,4813.000,1428
Mobile,682,3901.000,1427
Mobile,728,3396.000,1411
Desktop,953,5508.000,1411
Desktop,927,5456.500,1400
Desktop,895,5159.000,1399
Desktop,975,5658.500,1394
Tablet,823,2747.000,1393
Desktop,1284,2541.500,1392
Desktop,2257,3009.000,1391
Desktop,964,5063.000,1385
Mobile,726,4481.000,1382
Tablet,706,4054.500,1382
Tablet,695,7720.500,1378
Mobile,693,4932.000,1377
Desktop,949,5154.000,1375
Desktop,954,5288.000,1373
Desktop,911,5252.000,1366
Desktop,868,4991.500,1362
Mobile,706,3956.000,1361
Mobile,729,5096.000,1360
Desktop,898,4907.000,1357
Desktop,938,5030.000,1357
Desktop,907,5072.000,1353
Mobile,1474,3185.000,1347
Desktop,960,5419.000,1345
Tablet,679,3813.000,1339
Mobile,760,3692.000,1333
Desktop,950,5234.500,1326
Mobile,769,3744.000,1320
Desktop,903,4738.000,1319
Mobile,696,4175.500,1318
Desktop,891,5038.500,1316
Mobile,732,4092.000,1312
Desktop,937,5101.000,1309
Tablet,1474,3628.000,1308
Desktop,993,5764.000,1307
Desktop,893,5132.000,1307
Desktop,2255,2864.000,1301
Mobile,943,4448.000,1301
Tablet,668,3562.000,1300
Mobile,748,3769.500,1300
Desktop,965,5012.000,1295
Tablet,794,4594.000,1295
Tablet,719,5116.500,1294
Mobile,692,5037.000,1286
Desktop,2215,3819.000,1281
Tablet,718,4592.000,1281
Mobile,723,4286.000,1275
Mobile,904,4169.000,1270
Desktop,889,5146.000,1268
Desktop,956,5090.500,1268
Desktop,968,5156.000,1268
Desktop,969,5300.000,1265
Mobile,680,4565.000,1265
Mobile,733,3823.000,1264
Mobile,792,3807.000,1259
Mobile,704,4306.000,1258
Desktop,926,5384.000,1250
Desktop,1281,2668.000,1250
Tablet,728,3996.000,1249
Desktop,913,5034.000,1246
Tablet,2124,4097.000,1241
Mobile,963,4984.000,1238
Desktop,971,5187.500,1238
Desktop,958,5341.000,1237
Desktop,2284,5162.000,1236
Desktop,2259,2935.000,1235
Desktop,910,4957.000,1235
Desktop,957,5494.000,1230
Desktop,1268,3800.000,1227
Desktop,959,5143.000,1216
Tablet,732,4485.000,1215
Desktop,890,5010.000,1215
Tablet,726,4225.000,1209
Desktop,1066,3703.500,1206
Desktop,994,5758.000,1206
Mobile,746,3856.000,1204
Mobile,785,3758.000,1203
Desktop,917,5300.000,1201
Desktop,1272,3490.500,1200
Desktop,899,5096.000,1199
Desktop,2210,4326.000,1197
Desktop,909,5102.000,1197
Tablet,677,4145.000,1196
Mobile,940,3956.000,1195
Desktop,1282,2629.000,1193
Desktop,906,4905.000,1189
Desktop,962,5276.500,1188
Mobile,707,3998.500,1188
Mobile,727,4263.000,1181
Tablet,730,4485.000,1180
Desktop,933,5494.000,1179
Tablet,773,4614.000,1177
Desktop,944,5334.000,1172
Desktop,981,5061.500,1166
Desktop,929,5383.000,1163
Tablet,805,2677.500,1162
Desktop,900,4631.000,1158
Mobile,762,4713.000,1157
Desktop,908,4883.000,1154
Desktop,923,5392.000,1152
Desktop,1024,4664.000,1151
Mobile,759,4285.000,1151
Mobile,719,4338.000,1149
Desktop,997,5401.000,1145
Desktop,919,5316.500,1144
Desktop,915,5320.000,1144
Tablet,693,3427.000,1139
Mobile,964,4043.000,1137
Desktop,925,5414.000,1135
Mobile,763,4611.500,1132
Desktop,930,5214.000,1131
Desktop,1287,2735.000,1121
Desktop,976,4987.000,1121
Desktop,912,5023.000,1121
Desktop,921,5496.000,1119
Mobile,765,4655.000,1118
Desktop,1949,4380.000,1116
Desktop,1660,4321.000,1116
Tablet,788,3115.000,1112
Tablet,798,3255.000,1109
Tablet,697,3842.000,1108
Tablet,723,3901.000,1105
Desktop,894,4868.500,1104
Mobile,789,4176.000,1101
Mobile,702,3545.000,1100
Desktop,983,5380.000,1097
Desktop,932,5410.000,1097
Desktop,892,5096.500,1090
Mobile,801,4027.000,1090
Mobile,699,3845.000,1090
Mobile,745,3990.000,1089
Desktop,928,5327.000,1086
Mobile,684,4355.000,1085
Mobile,812,3993.500,1084
Desktop,1009,5116.000,1081
Desktop,973,5510.500,1080
Desktop,963,5187.000,1079
Desktop,982,5122.000,1072
Tablet,737,7992.500,1070
Mobile,716,3878.000,1069
Tablet,852,2703.500,1066
Desktop,974,5308.000,1063
Desktop,931,5343.000,1059
Mobile,1166,4716.500,1058
Tablet,819,7700.000,1057
Desktop,1001,5920.500,1056
Desktop,924,5135.000,1053
Desktop,914,5145.000,1050
Desktop,978,5172.500,1050
Tablet,799,3513.500,1048
Mobile,766,4652.500,1048
Mobile,712,3909.000,1048
Desktop,967,5258.500,1046
Mobile,715,4056.000,1045
Mobile,711,4410.500,1038
Mobile,905,4187.000,1037
Desktop,2249,3255.500,1036
Mobile,803,4661.000,1034
Desktop,987,5122.000,1031
Tablet,859,6507.000,1025
Mobile,737,3907.000,1025
Desktop,918,5445.000,1024
Tablet,696,3789.000,1023
Desktop,896,4756.000,1021
Desktop,916,5315.000,1017
Mobile,810,4156.000,1016
Desktop,1283,2392.000,1015
Tablet,720,5570.000,1010
Desktop,980,5221.000,1007
Mobile,844,4062.000,1004
Desktop,977,5342.500,1004
Mobile,1105,3738.000,1003
Mobile,757,4339.000,1000
Desktop,961,5214.000,1000
Desktop,979,5361.000,1000
Mobile,705,4122.000,998
Desktop,986,5103.000,998
Mobile,718,3329.000,997
Desktop,972,5083.000,994
Mobile,720,4280.500,992
Desktop,2214,4250.000,990
Desktop,984,4957.000,989
Tablet,778,3239.000,989
Desktop,2253,2936.500,986
Desktop,1274,2999.500,984
Desktop,1286,2431.000,979
Mobile,764,4515.000,978
Desktop,1014,4848.000,972
Desktop,2266,3395.000,971
Tablet,682,3791.500,970
Desktop,1008,5392.000,970
Mobile,965,4007.000,959
Mobile,806,4170.500,956
Mobile,721,4078.000,955
Mobile,717,4311.000,954
Desktop,2213,3159.500,950
Tablet,741,5179.000,949
Desktop,985,5211.000,945
Desktop,1004,5212.000,945
Desktop,1138,7493.000,943
Mobile,714,4177.000,943
Mobile,771,4627.000,939
Desktop,991,5284.000,936
Desktop,1032,7451.000,934
Tablet,816,7169.000,927
Mobile,698,3803.000,922
Desktop,990,4911.500,920
Mobile,735,4487.000,918
Desktop,2209,3297.000,917
Tablet,882,2895.500,916
Tablet,710,4429.000,916
Desktop,1010,5096.000,915
Desktop,1126,4641.000,915
Desktop,920,5145.500,914
Desktop,1023,4610.000,913
Tablet,675,3504.000,912
Mobile,818,3690.000,907
Mobile,747,4432.500,902
Desktop,1025,4298.000,902
Mobile,867,4669.000,898
Desktop,1015,4918.000,897
Mobile,742,4124.000,895
Desktop,922,5273.500,894
Desktop,1273,3037.000,889
Tablet,680,3534.000,888
Mobile,773,4309.000,887
Tablet,704,4071.000,886
Desktop,992,5336.000,885
Desktop,1002,5044.000,875
Desktop,1270,3078.000,871
Mobile,710,4040.000,871
Mobile,995,5444.500,868
Desktop,1007,5175.000,867
Tablet,705,3893.000,867
Tablet,691,5125.000,867
Desktop,2250,2868.000,863
Mobile,1078,4507.500,860
Desktop,1000,5828.000,858
Mobile,843,4262.000,851
Desktop,1185,5093.500,850
Mobile,709,4449.000,849
Desktop,2216,2752.000,845
Desktop,988,5219.500,844
Tablet,744,4605.000,843
Mobile,804,3815.000,843
Mobile,755,4048.000,840
Tablet,735,5879.000,839
Tablet,757,3992.000,838
Tablet,810,2848.000,836
Tablet,772,3053.000,833
Desktop,1275,2577.000,829
Tablet,783,3966.000,825
Desktop,1005,5193.000,821
Mobile,805,3670.000,821
Tablet,754,2948.000,818
Desktop,1687,4095.500,818
Tablet,784,4460.000,817
Desktop,989,5329.000,815
Desktop,1048,5004.000,813
Desktop,1011,5064.000,811
Mobile,1190,4713.500,810
Desktop,1013,4851.000,809
Mobile,996,5072.500,808
Mobile,819,4220.000,803
Mobile,903,4538.000,802
Mobile,802,4840.000,801
Tablet,776,3197.000,801
Desktop,1017,4856.000,798
Mobile,738,5672.000,797
Tablet,694,3670.000,793
Tablet,861,7125.000,789
Desktop,1016,4999.000,787
Tablet,770,4844.000,779
Mobile,958,4453.500,778
Tablet,841,5397.000,775
Mobile,866,4535.000,773
Mobile,968,4569.000,764
Desktop,2223,2751.000,763
Desktop,1191,4742.000,761
Tablet,687,3968.000,761
Desktop,1022,4813.000,760
Mobile,974,3867.000,759
Mobile,782,3791.000,758
Mobile,874,3876.000,757
Tablet,684,5035.000,757
Mobile,836,3965.000,757
Mobile,849,5031.500,756
Tablet,686,3944.000,751
Tablet,994,17133.500,750
Mobile,5042,2661.000,749
Mobile,953,3509.500,748
Mobile,2124,3448.000,745
Mobile,783,3739.500,744
Desktop,1018,5050.000,742
Mobile,815,4322.500,740
Mobile,776,4327.000,739
Mobile,744,4033.000,737
Tablet,763,4260.000,733
Tablet,815,3512.000,733
Desktop,1675,4006.000,732
Mobile,834,5026.000,732
Tablet,872,5752.000,732
Tablet,713,4074.500,730
Mobile,976,4398.000,729
Desktop,2264,2573.500,728
Tablet,791,4843.500,728
Mobile,751,4518.500,726
Tablet,742,5946.000,722
Desktop,1035,4928.000,719
Mobile,753,4532.000,719
Desktop,1021,4820.000,715
Tablet,678,4186.000,709
Tablet,716,4075.000,709
Mobile,736,5331.500,708
Mobile,1076,4557.000,707
Mobile,883,3979.000,707
Tablet,785,5354.500,706
Mobile,907,4572.000,705
Desktop,1019,4872.000,705
Mobile,786,4436.000,704
Mobile,1370,5059.500,704
Mobile,784,3887.000,703
Mobile,772,4647.000,701
Mobile,942,5499.000,701
Mobile,787,3893.000,699
Mobile,758,3968.500,698
Tablet,792,3336.000,698
Tablet,796,6208.000,698
Mobile,902,3863.000,697
Mobile,754,3715.000,695
Mobile,833,3740.500,692
Mobile,835,4612.500,692
Mobile,788,4426.000,691
Desktop,1030,4704.000,689
Tablet,698,4157.000,688
Desktop,2219,2564.000,687
Mobile,798,6155.000,684
Desktop,1026,4637.000,683
Desktop,1012,5106.000,681
Desktop,2261,2744.000,680
Tablet,699,3361.000,679
Tablet,802,3129.000,679
Mobile,877,3007.500,674
Mobile,743,4668.500,674
Desktop,1269,3483.500,674
Mobile,840,3840.000,673
Mobile,879,3754.000,669
Desktop,1104,5517.000,668
Desktop,2217,2791.000,666
Tablet,717,4752.000,665
Tablet,708,3309.500,664
Desktop,2251,2957.000,663
Desktop,1285,2482.000,663
Desktop,2212,3596.000,662
Desktop,1034,4747.000,661
Tablet,807,3105.000,661
Mobile,1268,5047.000,661
Mobile,876,3157.000,660
Mobile,820,4664.500,660
Mobile,799,4798.000,659
Mobile,1210,5345.500,658
Desktop,1027,4411.000,656
Mobile,868,4190.500,656
Mobile,797,4123.500,656
Desktop,2244,2359.500,654
Mobile,822,4202.500,654
Tablet,683,4822.000,653
Tablet,756,3255.000,652
Mobile,969,4109.000,650
Mobile,1898,9539.000,650
Mobile,1046,4348.000,648
Mobile,821,4520.000,648
Desktop,2246,2793.000,647
Mobile,1040,4968.000,645
Mobile,781,3849.000,644
Desktop,1020,4788.000,643
Mobile,986,4691.500,642
Desktop,2263,2720.000,637
Desktop,1040,4954.000,637
Desktop,1990,4794.000,637
Mobile,817,4184.000,637
Mobile,809,3858.000,636
Tablet,727,4037.000,636
Desktop,1999,5439.000,635
Desktop,2262,2572.500,634
Desktop,1029,4816.000,633
Tablet,736,5705.500,632
Desktop,2218,2765.000,631
Mobile,1090,5173.000,627
Mobile,891,4840.000,624
Desktop,1060,4209.000,621
Mobile,752,4115.500,620
Desktop,2268,3061.500,618
Mobile,826,3673.000,617
Tablet,789,5538.000,615
Mobile,936,3881.000,610
Mobile,1097,6163.000,610
Desktop,1156,5407.000,609
Desktop,2267,4908.000,608
Mobile,895,3927.000,607
Desktop,1290,2029.000,604
Desktop,1123,4187.000,603
Mobile,1088,4640.000,600
Mobile,1318,5027.500,600
Tablet,795,4079.000,598
Mobile,1116,7125.000,598
Mobile,1072,6066.000,597
Desktop,1271,2474.000,593
Mobile,774,4896.500,592
Desktop,1036,4699.000,591
Mobile,898,3826.000,591
Tablet,821,2989.500,590
Mobile,795,5167.000,590
Desktop,1039,4768.000,589
Tablet,715,4227.000,589
Mobile,790,4033.000,589
Tablet,712,4183.000,587
Tablet,746,4277.000,587
Mobile,808,3933.000,584
Mobile,951,5611.000,582
Mobile,837,4528.000,581
Mobile,708,4318.000,581
Tablet,856,4916.000,580
Desktop,2204,6340.000,579
Desktop,2270,2834.000,578
Desktop,1046,4800.000,577
Mobile,791,4251.000,577
Tablet,714,4129.500,576
Mobile,1023,3769.500,576
Mobile,796,4046.500,574
Mobile,882,3265.500,574
Mobile,1136,9961.000,573
Desktop,1033,4903.000,571
Mobile,1392,5206.000,570
Desktop,1031,4937.000,569
Tablet,850,3075.000,569
Tablet,709,6416.500,564
Mobile,1175,4435.000,563
Mobile,2285,4292.000,562
Desktop,1028,4686.000,562
Mobile,864,3687.500,562
Tablet,753,3164.500,560
Mobile,1330,4892.000,559
Mobile,756,3604.500,558
Mobile,978,6068.500,558
Desktop,1041,4802.000,557
Mobile,831,4237.000,554
Mobile,839,4078.000,552
Desktop,2220,2529.000,551
Desktop,1072,3929.000,549
